Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Inventors,Patent office,Application number,Patent number,Conference,Institution,Book,Source
Forecasting with alternative data,"Michael Fleder, Devavrat Shah",2019/12/17,Proceedings of the ACM on Measurement and Analysis of Computing Systems,3.0,3,ACM,"We consider the problem of forecasting fine-grained company financials, such as daily revenue, from two input types: noisy proxy signals a la alternative data (e.g. credit card transactions) and sparse ground-truth observations (e.g. quarterly earnings reports). We utilize a classical linear systems model to capture both the evolution of the hidden or latent state (e.g. daily revenue), as well as the proxy signal (e.g. credit cards transactions). The linear system model is particularly well suited here as data is extremely sparse (4 quarterly reports per year). In classical system identification, where the central theme is to learn parameters for such linear systems, unbiased and consistent estimation of parameters is not feasible: the likelihood is non-convex; and worse, the global optimum for maximum likelihood estimation is often non-unique. As the main contribution of this work, we provide a simple, consistent estimator of all …",1,"Forecasting with alternative data
M Fleder, D Shah - Proceedings of the ACM on Measurement and Analysis …, 2019
Cited by 1 Related articles",{'2022': 1},1-29,,,,,,,,
Nearest neighbors for matrix estimation interpreted as blind regression for latent variable model,"Yihua Li, Devavrat Shah, Dogyoon Song, Christina Lee Yu",2019/10/29,IEEE Transactions on Information Theory,66.0,3,IEEE,"We consider the setup of nonparametric blind regression for estimating the entries of a large m × n matrix, when provided with a small, random fraction of noisy measurements. We assume that all rows u ∈ [m] and columns i ∈ [n] of the matrix are associated to latent features xrow(u) and xcol(i) respectively, and the (u, i)-th entry of the matrix, A(u, i) is equal to f(x row (u), x col (i)) for a latent functionf. Given noisy observations of a small, random subset of the matrix entries, our goal is to estimate the unobserved entries of the matrix as well as to “denoise” the observed entries. As the main result of this work, we introduce a nearest-neighbor-based estimation algorithm, and establish its consistency when the underlying latent function f is Lipschitz, the underlying latent space is a bounded diameter Polish space, and the random fraction of observed entries in the matrix is at least max (m -1+δ , n -1/2+δ ), for any δ > 0. As an …",22,"Nearest neighbors for matrix estimation interpreted as blind regression for latent variable model
Y Li, D Shah, D Song, CL Yu - IEEE Transactions on Information Theory, 2019
Cited by 17 Related articles All 6 versions
Blind regression via nearest neighbors under latent variable models*
CE Lee, Y Li, D Shah, D Song - Advances in Neural Information Processing Systems, 2016
Cited by 5 Related articles","{'2017': 1, '2018': 3, '2019': 2, '2020': 2, '2021': 8, '2022': 5, '2023': 1}",1760-1784,,,,,,,,
Dataset completion,,2019/10/3,,,,,"Systems and methods for completing at least one entry in a dataset. The systems and methods described herein find a rich set of dense features for each of a plurality of entities, then combine the rich set of dense features with externally provided features to estimate a target value. The systems and methods combine these features using a neural network model in which portions of the input layer are each only connected to a portion of the hidden layer.",1,"Dataset completion
D Shah, SK Burle, R Madan - US Patent App. 16/370,232, 2019
Cited by 1 All 2 versions",{'2021': 1},,"Devavrat Shah, Sai Kiran Burle, Ritesh Madan",US,16370232.0,,,,,
Entity tracking,,2019/8/27,,,,,"Systems and methods for tracking at least one entity. Systems according to various embodiments may include an interface for at least receiving training data representing movements of a plurality of training entities and a query regarding a test entity's movement, a memory, and at least one processor executing instructions stored on the memory to create a plurality of tracks, generate an index of the plurality of tracks, execute the received query, and output a feature value with respect to the test entity.",0,"Entity tracking
SK Burle, J Lee, D Shah, V Doshi, YZ Huang, Q Li - US Patent 10,397,747, 2019
Related articles All 4 versions",{},,"Sai Kiran Burle, Joshua Lee, Devavrat Shah, Vishal Doshi, Ying-Zong Huang, Quan Li",US,16190034.0,10397747.0,,,,
Robust Max Entrywise Error Bounds for Sparse Tensor Estimation via Similarity Based Collaborative Filtering,"Devavrat Shah, Christina Lee Yu",2019/8/3,arXiv preprint arXiv:1908.01241,,,,"Consider the task of estimating a 3-order tensor from noisy observations of randomly chosen entries in the sparse regime. We introduce a similarity based collaborative filtering algorithm for sparse tensor estimation and argue that it achieves sample complexity that nearly matches the conjectured computationally efficient lower bound on the sample complexity for the setting of low-rank tensors. Our algorithm uses the matrix obtained from the flattened tensor to compute similarity, and estimates the tensor entries using a nearest neighbor estimator. We prove that the algorithm recovers a low rank tensor with maximum entry-wise error (MEE) and mean-squared-error (MSE) decaying to as long as each entry is observed independently with probability for any arbitrarily small . % as long as tensor has finite rank . More generally, we establish robustness of the estimator, showing that when arbitrary noise bounded by is added to each observation, the estimation error with respect to MEE and MSE degrades by . Consequently, even if the tensor may not have finite rank but can be approximated within by a finite rank tensor, then the estimation error converges to . Our analysis sheds insight into the conjectured sample complexity lower bound, showing that it matches the connectivity threshold of the graph used by our algorithm for estimating similarity between coordinates.",0,"Robust Max Entrywise Error Bounds for Sparse Tensor Estimation via Similarity Based Collaborative Filtering
D Shah, CL Yu - arXiv preprint arXiv:1908.01241, 2019
Related articles All 2 versions",{},,,,,,,,,
Revisiting stochastic loss networks: Structures and approximations,"Kyomin Jung, Yingdong Lu, Devavrat Shah, Mayank Sharma, Mark S Squillante",2019/8,Mathematics of Operations Research,44.0,3,INFORMS,"We consider fundamental properties of stochastic loss networks, seeking to improve on the so-called Erlang fixed-point approximation. We propose a family of mathematical approximations for estimating the stationary loss probabilities and show that they always converge exponentially fast, provide asymptotically exact results, and yield greater accuracy than the Erlang fixed-point approximation. We further derive structural properties of the inverse of the classical Erlang loss function that characterize the region of capacities that ensures a workload is served within a set of loss probabilities. We then exploit these results to efficiently solve a general class of stochastic optimization problems involving loss networks. Computational experiments investigate various issues of both theoretical and practical interest, and demonstrate the benefits of our approach.",6,"Revisiting stochastic loss networks: Structures and approximations
K Jung, Y Lu, D Shah, M Sharma, MS Squillante - Mathematics of Operations Research, 2019
Cited by 6 Related articles All 4 versions","{'2020': 1, '2021': 2, '2022': 2}",890-918,,,,,,,,
Interactions between learning and broadcasting in wireless recommendation systems,"Linqi Song, Christina Fragouli, Devavrat Shah",2019/7/7,,,,IEEE,"We consider recommendation systems that need to operate under wireless bandwidth constraints, which is measured as the number of broadcast transmissions. We demonstrate a (tight for some instances) tradeoff between regret and bandwidth for wireless recommendations formulated in a contextual multiarmed bandit framework.",7,"Interactions between learning and broadcasting in wireless recommendation systems
L Song, C Fragouli, D Shah - 2019 IEEE International Symposium on Information …, 2019
Cited by 7 Related articles All 4 versions","{'2020': 3, '2021': 2, '2022': 2}",2549-2553,,,,,2019 IEEE International Symposium on Information Theory (ISIT),,,
Iterative collaborative filtering for sparse noisy tensor estimation,"Devavrat Shah, Christina Lee Yu",2019/7/7,,,,IEEE,"We consider the task of tensor estimation, i.e. estimating a low-rank 3-order n × n × n tensor from noisy observations of randomly chosen entries in the sparse regime. In the context of matrix (2-order tensor) estimation, a variety of algorithms have been proposed and analyzed in the literature including the popular collaborative filtering algorithm that is extremely well utilized in practice. However, in the context of tensor estimation, there is limited progress. No natural extensions of collaborative filtering are known beyond ""flattening"" the tensor into a matrix and applying standard collaborative filtering. As the main contribution of this work, we introduce a generalization of the collaborative filtering algorithm for the setting of tensor estimation and argue that it achieves sample complexity that (nearly) matches the conjectured lower bound on the sample complexity. Interestingly, our generalization uses the matrix obtained …",17,"Iterative collaborative filtering for sparse noisy tensor estimation
D Shah, CL Yu - 2019 IEEE International Symposium on Information …, 2019
Cited by 17 Related articles All 5 versions","{'2019': 1, '2020': 2, '2021': 7, '2022': 5, '2023': 2}",41-45,,,,,2019 IEEE International Symposium on Information Theory (ISIT),,,
Approximately Reversible Stochastic Processing Networks,Devavrat Shah,2019/7,INFORMS Applied Probability Society Conference,,,,"The property of (quasi-)reversibility of Markov chains have led to elegant characterization of steady-state distribution for complex queueing networks, e.g. celebrated Jackson networks, BCMP (Baskett, Chandi, Muntz, Palacois) and Kelly theorem. In a nutshell, despite the complicated interaction, in the steady-state, the queues in such networks exhibit independence and subsequently lead to explicit calculations of distributional properties of the queuing network that may seem impossible at the outset. The model of stochastic processing network (cf. Harrison 2000) captures variety of dynamic resource allocation problems including the flow-level networks used for modeling bandwidth sharing in the Internet, switched networks (cf. Shah, Wischik 2006) for modeling packet scheduling in the Internet router and wireless medium access, and hybrid flow-packet networks for modeling job-and-packet level scheduling in data centers. Unlike before, an appropriate resource allocation or scheduling policy is required in such networks to achieve good performance. Given the complexity, asymptotic analytic approaches such as fluid model or Lyapunov-Foster criteria to establish positive-recurrence and heavy traffic or diffusion approximation to characterize the scaled steady-state distribution became method of choice. A remarkable progress has been made along these lines over the past few decades, but there is a need for much more to match the explicit calculations in the context of reversible networks. In this work, we will present an alternative to this approach that leads to non-asymptotic, explicit characterization of steady-state distribution akin BCMP / Kelly …",0,"Approximately Reversible Stochastic Processing Networks
D Shah - INFORMS Applied Probability Society Conference, 2019",{},,,,,,,,,
mrsc: Multi-dimensional robust synthetic control,"Muhammad Amjad, Vishal Misra, Devavrat Shah, Dennis Shen",2019/6/19,Proceedings of the ACM on Measurement and Analysis of Computing Systems,3.0,2,ACM,"When evaluating the impact of a policy (e.g., gun control) on a metric of interest (e.g., crime-rate), it may not be possible or feasible to conduct a randomized control trial. In such settings where only observational data is available, synthetic control (SC) methods [2-4] provide a popular data-driven approach to estimate a ""synthetic"" or ""virtual"" control by combining measurements of ""similar"" alternatives or units (called ""donors""). Recently, robust synthetic control (RSC) [7] was proposed as a generalization of SC to overcome the challenges of missing data and high levels of noise, while removing the reliance on expert domain knowledge for selecting donors. However, both SC and RSC (and its variants) suffer from poor estimation when the pre-intervention period is too short. As the main contribution of this work, we propose a generalization of unidimensional RSC to multi-dimensional Robust Synthetic Control, mRSC …",34,"mrsc: Multi-dimensional robust synthetic control
M Amjad, V Misra, D Shah, D Shen - Proceedings of the ACM on Measurement and Analysis …, 2019
Cited by 34 Related articles All 10 versions","{'2019': 2, '2020': 6, '2021': 7, '2022': 17, '2023': 2}",1-27,,,,,,,,
Zorro: A Model Agnostic System to Price Consumer Data,"Anish Agarwal, Munther Dahleh, Devavrat Shah, Dylan Sleeper, Andrew Tsai, Madeline Wong",2019/6/6,arXiv preprint arXiv:1906.02420,,,,"Personal data is essential in showing users targeted ads - the economic backbone of the web. Still, there are major inefficiencies in how data is transacted online: (1) users don't decide what information is released nor get paid for this privacy loss; (2) algorithmic advertisers are stuck in inefficient long-term contracts where they purchase user data without knowing the value it provides. This paper proposes a system, Zorro, which aims to rectify aforementioned two problems. As the main contribution, we provide a natural, 'absolute' definition of 'Value of Data' (VoD) - for any quantity of interest, it is the delta between an individual's value and population mean. The challenge remains how to operationalize this definition, independently of a buyer's model for VoD. We propose a model-agnostic solution, relying on matrix estimation, and use it to estimate click-through-rate (CTR), as an example. Regarding (2), Zorro empowers advertisers to measure value of user data on a query-by-query basis and based only on the increase in accuracy it provides in estimating CTR. In contrast advertisers currently engage in inefficient long-term data contracts with third party data sellers. We highlight two results on a large ad-click dataset: (i) our system has R^2=0.58, in line with best-in-class results for related problems (e.g. content recommendation). Crucially, our system is model-agnostic - we estimate CTR without accessing an advertiser's proprietary models, a required property of any such pricing system;(ii) our experiments show selling user data has incremental value ranging from 30%-69% depending on ad category. Roughly, this translates to at least USD 16 …",1,"Zorro: A Model Agnostic System to Price Consumer Data
A Agarwal, M Dahleh, D Shah, D Sleeper, A Tsai… - arXiv preprint arXiv:1906.02420, 2019
Cited by 1 Related articles All 2 versions",{'2023': 1},,,,,,,,,
Application of Fusion Technique and Support Vector Machine for Identifying Specific Vegetation Type,"Kavita V Joshi, Dilip D Shah, Anupama Deshpande",2019/3/29,,,,IEEE,"Agriculture is the nurturer of almost all living creatures on the earth. Various types of crop are being grown depending on the type of land. The overall yield plays a prime entity of concern. To acquire the knowledge about crops, various investigations had been carried out with the aid of image processing. The sources of farm images are quodcopters, aircrafts, satellite Numerous image classification techniques have proven its ability to bifurcate the image and achieve the target. In this research the satellite images are used to gain the precise knowledge of specific type of vegetation.. Support Vector Machine is used as classifier . the result has proven that the species are correctly identified from the arable land. Author has achieved accuracy of 90.6% with processing delay of 105.2 msec for 1600 blocks training in SVM.",1,"Application of Fusion Technique and Support Vector Machine for Identifying Specific Vegetation Type
KV Joshi, DD Shah, A Deshpande - 2019 IEEE 5th International Conference for …, 2019
Cited by 1 Related articles",{'2021': 1},1-5,,,,,2019 IEEE 5th International Conference for Convergence in Technology (I2CT),,,
Model agnostic highdimensional error-in-variable regression,"Anish Agarwal, Devavrat Shah, Dennis Shen, Dogyoon Song",2019/2,arXiv preprint arXiv:1902.10920,5.0,,,"We consider the problem of high-dimensional error-in-variable regression where instead of directly observing the covariates, we observe its sparse, noisy version, a common thread of modern datasets. For this setup, we propose an algorithm that utilizes matrix estimation on the corrupted data as a key subroutine, and then performs ordinary least squares regression with the de-noised covariates. If we instantiate the matrix estimation subroutine with hard singular value thresholding (HSVT), then our results indicate that as long as the number of samples scales as ρ− 4r log5 (p), then our in-and out-ofsample prediction error decays to 0 as p→∞; here, ρ represents the fraction of observed (noisy) covariates, r is the (approximate) rank of the true covariate matrix, and p denotes the ambient dimension (number of predictors). As an important byproduct of our approach, we demonstrate that HSVT with regression acts as a form of implicit ℓ0-regularization since HSVT aims to find a lowrank structure within the covariance matrix. Thus, we can view the sparsity of the regression vector as a consequence of the covariate structure rather than a model assumption as is often considered in the literature. Moreover, under HSVT, our finite sample bounds match (up to log4 (p) factors) the best guaranteed sample complexity results in the literature for algorithms that require precise knowledge of the underlying model; we highlight that our approach, in contrast, is model agnostic. In the process of our analysis, we obtain two technical results of independent interest: first, we provide a spectral norm bound for random matrices with independent sub-exponential rows with …",1,"Model agnostic highdimensional error-in-variable regression
A Agarwal, D Shah, D Shen, D Song - arXiv preprint arXiv:1902.10920, 2019
Cited by 1 Related articles",{'2020': 1},,,,,,,,,
Asynchronous approximation of a single component of the solution to a linear system,"Asuman Ozdaglar, Devavrat Shah, Christina Lee Yu",2019/1/23,IEEE Transactions on Network Science and Engineering,7.0,3,IEEE,"We present a distributed asynchronous algorithm for approximating a single component of the solution to a system of linear equations Ax = b, where A is a positive definite real matrix and b ∈ R n . This can equivalently be formulated as solving for x i in x = Gx + z for some G and z such that the spectral radius of G is less than 1. Our algorithm relies on the Neumann series characterization of the component xi, and is based on residual updates. We analyze our algorithm within the context of a cloud computation model motivated by frameworks, such as Apache Spark, in which the computation is split into small update tasks performed by small processors with shared access to a distributed file system. We prove a robust asymptotic convergence result when the spectral radius ρ(|G|) <; 1, regardless of the precise order and frequency in which the update tasks are performed. We provide convergence rate bounds that …",3,"Asynchronous approximation of a single component of the solution to a linear system
A Ozdaglar, D Shah, CL Yu - IEEE Transactions on Network Science and …, 2019
Cited by 3 Related articles All 5 versions","{'2021': 2, '2022': 1}",975-986,,,,,,,,
Time Series Predict DB.,"Abdullah Alomar, Muhammad J Amjad, Robert Lindland, Devavrat Shah",2019,CoRR,,,,,0,"Time Series Predict DB.
A Alomar, MJ Amjad, R Lindland, D Shah - CoRR, 2019",{},,,,,,,,,
On robustness of principal component regression,"Anish Agarwal, Devavrat Shah, Dennis Shen, Dogyoon Song",2019,Advances in Neural Information Processing Systems,32.0,,,"Consider the setting of Linear Regression where the observed response variables, in expectation, are linear functions of the p-dimensional covariates. Then to achieve vanishing prediction error, the number of required samples scales faster than pσ2, where σ2 is a bound on the noise variance. In a high-dimensional setting where p is large but the covariates admit a low-dimensional representation (say r≪ p), then Principal Component Regression (PCR), cf.[36], is an effective approach; here, the response variables are regressed with respect to the principal components of the covariates. The resulting number of required samples to achieve vanishing prediction error now scales faster than rσ2 (≪ pσ2). Despite the tremendous utility of PCR, its ability to handle settings with noisy, missing, and mixed (discrete and continuous) valued covariates is not understood and remains an important open challenge, cf.[24]. As the main contribution of this work, we address this challenge by rigorously establishing that PCR is robust to noisy, sparse, and possibly mixed valued covariates. Specifically, under PCR, vanishing prediction error is achieved with the number of samples scaling as r max (σ2, ρ− 4 log5 (p)), where ρ denotes the fraction of observed (noisy) covariates. We establish generalization error bounds on the performance of PCR, which provides a systematic approach in selecting the correct number of components r in a data-driven manner. The key to our result is a simple, but powerful equivalence between (i) PCR and (ii) Linear Regression with covariate pre-processing via Hard Singular Value Thresholding (HSVT). From a technical standpoint …",60,"On robustness of principal component regression
A Agarwal, D Shah, D Shen, D Song - Advances in Neural Information Processing Systems, 2019
Cited by 60 Related articles All 15 versions","{'2019': 4, '2020': 7, '2021': 15, '2022': 25, '2023': 9}",,,,,,,,,
On reinforcement learning using Monte Carlo tree search with supervised learning: Non-asymptotic analysis,"Devavrat Shah, Qiaomin Xie, Zhi Xu",2019,arXiv preprint arXiv:1902.05213,,,,,10,"On reinforcement learning using Monte Carlo tree search with supervised learning: Non-asymptotic analysis
D Shah, Q Xie, Z Xu - arXiv preprint arXiv:1902.05213, 2019
Cited by 10 Related articles","{'2019': 4, '2020': 3, '2021': 3}",,,,,,,,,
Implicit feedback policies for COVID-19: why “zero-COVID” policies remain elusive,"Devavrat Shah, Dogyoon Song",2018/12/31,arXiv preprint arXiv:1812.11917,,,,"We consider the problem of learning a mixture of Random Utility Models (RUMs). Despite the success of RUMs in various domains and the versatility of mixture RUMs to capture the heterogeneity in preferences, there has been only limited progress in learning a mixture of RUMs from partial data such as pairwise comparisons. In contrast, there have been significant advances in terms of learning a single component RUM using pairwise comparisons. In this paper, we aim to bridge this gap between mixture learning and single component learning of RUM by developing a `reduction' procedure. We propose to utilize PCA-based spectral clustering that simultaneously `de-noises' pairwise comparison data. We prove that our algorithm manages to cluster the partial data correctly (i.e., comparisons from the same RUM component are grouped in the same cluster) with high probability even when data is generated from a possibly {\em heterogeneous} mixture of well-separated {\em generic} RUMs. Both the time and the sample complexities scale polynomially in model parameters including the number of items. Two key features in the analysis are in establishing (1) a meaningful upper bound on the sub-Gaussian norm for RUM components embedded into the vector space of pairwise marginals and (2) the robustness of PCA with missing values in the sense, which might be of interest in their own right.",2,"Learning RUMs: Reducing Mixture to Single Component via PCA
D Shah, D Song - arXiv preprint arXiv:1812.11917, 2018
Cited by 2 Related articles All 2 versions",{},,,,,,,,,
Matrix Estimation for Individual Fairness,"Anish Agarwal, Muhammad Jehangir Amjad, Devavrat Shah, Dennis Shen",2018/12/21,Proceedings of the ACM on Measurement and Analysis of Computing Systems,2.0,3,ACM,"We propose an algorithm to impute and forecast a time series by transforming the observed time series into a matrix, utilizing matrix estimation to recover missing values and de-noise observed entries, and performing linear regression to make predictions. At the core of our analysis is a representation result, which states that for a large class of models, the transformed time series matrix is (approximately) low-rank. In effect, this generalizes the widely used Singular Spectrum Analysis (SSA) in the time series literature, and allows us to establish a rigorous link between time series analysis and matrix estimation. The key to establishing this link is constructing a Page matrix with non-overlapping entries rather than a Hankel matrix as is commonly done in the literature (e.g., SSA). This particular matrix structure allows us to provide finite sample analysis for imputation and prediction, and prove the asymptotic consistency of …",43,"Model agnostic time series analysis via matrix estimation
A Agarwal, MJ Amjad, D Shah, D Shen - Proceedings of the ACM on Measurement and Analysis …, 2018
Cited by 43 Related articles All 6 versions","{'2019': 5, '2020': 12, '2021': 11, '2022': 10, '2023': 4}",1-39,,,,,,,,
Counterfactual Identifiability of Bijective Causal Models,"Linqi Song, Christina Fragouli, Devavrat Shah",2018/11/25,,,,IEEE,"We consider wireless recommender systems that need to learn the user preferences (explore) and use them to accordingly decide what are the most profitable recommendations to make (exploit), under bandwidth constraints. We propose a graph-based scheme that leverages user side information and coding to efficiently exploit and explore over wireless, and evaluate its performance.",8,"Recommender systems over wireless: Challenges and opportunities
L Song, C Fragouli, D Shah - 2018 IEEE Information Theory Workshop (ITW), 2018
Cited by 8 Related articles All 4 versions","{'2019': 1, '2020': 2, '2021': 1, '2022': 3, '2023': 1}",1-5,,,,,,,,2018 IEEE Information Theory Workshop (ITW)
Synthetic A/B Testing using Synthetic Interventions,"Linqi Song, Christina Fragouli, Devavrat Shah",2018/10/15,arXiv preprint arXiv:1810.06313,,,,"We consider recommendation systems that need to operate under wireless bandwidth constraints, measured as number of broadcast transmissions, and demonstrate a (tight for some instances) tradeoff between regret and bandwidth for two scenarios: the case of multi-armed bandit with context, and the case where there is a latent structure in the message space that we can exploit to reduce the learning phase.",1,"Regret vs. bandwidth trade-off for recommendation systems
L Song, C Fragouli, D Shah - arXiv preprint arXiv:1810.06313, 2018
Cited by 1 Related articles All 3 versions",{'2019': 1},,,,,,,,,
EVENT PREDICTION,"Devavrat Shah, Sai Burle, Vishal Doshi, Ying-zong Huang, Balaji Rengarajan",2018/10/2,,,,IEEE,"In this paper, we introduce an enhanced schema-less database language that supports prediction queries natively-the Prediction Query Language (PQL). Data in the PQL representation can be naturally modeled as an exchangeable multi-dimensional array. The seminal result by Aldous and Hoover (1980s), generalizing the classical result of De Finetti (1937), provides a canonical latent variable model characterization for such an exchangeable multi-dimensional array. We present a three-layer neural-network-based architecture that encodes this latent variable model representation and realizes an atomic prediction query. Using PQL, learning problems of Regression, Classification, Time-Series, Matrix and Tensor Completion can be solved simply by defining “schema” in PQL and then running predictive query. With the help of various benchmark datasets for each of Classification, Regression, Time Series and …",2,"Prediction query language
D Shah, S Burle, V Doshi, Y Huang, B Rengarajan - 2018 56th Annual Allerton Conference on …, 2018
Cited by 2 Related articles All 3 versions",{'2021': 2},611-616,,,,,"2018 56th Annual Allerton Conference on Communication, Control, and Computing (Allerton)",,,
Robust Max Entrywise Error Bounds for Tensor Estimation from Sparse Observations via Similarity Based Collaborative Filtering,Devavrat Shah,2018/6/18,ACM SIGMETRICS Performance Evaluation Review,46.0,1,,"Session details: Learning II | Abstracts of the 2018 ACM International Conference on Measurement and Modeling of Computer Systems ACM Digital Library home ACM home Google, Inc. (search) Advanced Search Browse About Sign in Register Advanced Search Journals Magazines Proceedings Books SIGs Conferences People More Search ACM Digital Library SearchSearch Advanced Search metrics Conference Proceedings Upcoming Events Authors Affiliations Award Winners More HomeConferencesMETRICSProceedingsSIGMETRICS '18Session details: Learning II section Share on Session details: Learning II Session Chair: Devavrat Shah Massachusetts Institute of Technology Massachusetts Institute of Technology View Profile Authors Info & Claims SIGMETRICS '18: Abstracts of the 2018 ACM International Conference on Measurement and Modeling of Computer SystemsJune 2018 https://doi.org/10.1145/…",0,"Session details: Learning II
D Shah - ACM SIGMETRICS Performance Evaluation Review, 2018",{},,,,,,,,,
Systems and methods for synthetic interventions,"George H Chen, Devavrat Shah",2018/5/30,Foundations and Trends® in Machine Learning,10.0,5-6,"Now Publishers, Inc.","Many modern methods for prediction leverage nearest neighbor search to find past training examples most similar to a test example, an idea that dates back in text to at least the 11th century and has stood the test of time. This monograph aims to explain the success of these methods, both in theory, for which we cover foundational nonasymptotic statistical guarantees on nearest-neighbor-based regression and classification, and in practice, for which we gather prominent methods for approximate nearest neighbor search that have been essential to scaling prediction systems reliant on nearest neighbor analysis to handle massive datasets. Furthermore, we discuss connections to learning distances for use with nearest neighbor methods, including how random decision trees and ensemble methods learn nearest neighbor structure, as well as recent developments in crowdsourcing and graphons. In terms of theory, our focus is on nonasymptotic statistical guarantees, which we state in the form of how many training data and what algorithm parameters ensure that a nearest neighbor prediction method achieves a user-specified error tolerance. We begin with the most general of such results for nearest neighbor and related kernel regression and classification in general metric spaces. In such settings in which we assume very little structure, what enables successful prediction is smoothness in the function being estimated for regression, and a low probability of landing near the decision boundary for classification. In practice, these conditions could be difficult to verify empirically for a real dataset. We then cover recent theoretical guarantees on nearest …",138,"Explaining the success of nearest neighbor methods in prediction
GH Chen, D Shah - Foundations and Trends® in Machine Learning, 2018
Cited by 138 Related articles All 4 versions","{'2018': 5, '2019': 29, '2020': 39, '2021': 31, '2022': 28, '2023': 6}",337-588,,,,,,,,
Doubly robust nearest neighbors in factor models,"Devavrat Shah, Christina Lee",2018/3/31,,,,PMLR,"Inferring the correct answers to binary tasks based on multiple noisy answers in an unsupervised manner has emerged as the canonical question for micro-task crowdsourcing or more generally aggregating opinions. In graphon estimation, one is interested in estimating edge intensities or probabilities between nodes using a single snapshot of a graph realization. In the recent literature, there has been exciting development within both of these topics. In the context of crowdsourcing, the key intellectual challenge is to understand whether a given task can be more accurately denoised by aggregating answers collected from other different tasks. In the context of graphon estimation, precise information limits and estimation algorithms remain of interest. In this paper, we utilize a statistical reduction from crowdsourcing to graphon estimation to advance the state-of-art for both of these challenges. We use concepts from graphon estimation to design an algorithm that achieves better performance than the majority voting scheme for a setup that goes beyond the rank one models considered in the literature. We use known lower bounds for crowdsourcing to derive lower bounds for graphon estimation.",20,"Reducing crowdsourcing to graphon estimation, statistically
D Shah, C Lee - International Conference on Artificial Intelligence and …, 2018
Cited by 20 Related articles All 7 versions","{'2017': 1, '2018': 3, '2019': 2, '2020': 7, '2021': 1, '2022': 4, '2023': 2}",1741-1750,,,,,International Conference on Artificial Intelligence and Statistics,,,
Model Agnostic Time Series Analysis Via Matrix Estimation,"Devavrat Shah, Dogyoon Song",2018/3/9,arXiv preprint arXiv:1803.03469,,,,"Deconvolution is a statistical inverse problem to estimate the distribution of a random variable based on its noisy observations. Despite the extensive studies on the topic, deconvolution with unknown noise distribution remains as a notoriously hard problem. We propose a matrix-based viewpoint for collective deconvolution that subsumes the setup with repeated measurements as a special case. As the main result, we describe a simple algorithm that partially utilizes matrix structure to solve deconvolution problem and provide non-asymptotic error analysis for the algorithm. We show that the proposed algorithm achieves the minimax optimal rate for deconvolution in a restricted sense. We also remark the connection between the collective deconvolution and the so-called statistical seriation as a byproduct or our matrix viewpoint. We conjecture that the link suggests that collective deconvolution, as well as deconvolution with repeated measurements, is intrinsically much easier than usual deconvolution of a single distribution.",0,"Deconvolution with Unknown Error Distribution Interpreted as Blind Isotonic Regression
D Shah, D Song - arXiv preprint arXiv:1803.03469, 2018
Related articles All 2 versions",{},,,,,,,,,
On counterfactual inference with unobserved confounding,"Devavrat Shah, Dogyoon Song",2018/3,arXiv preprint arXiv:1803.03469,,,,"The goal of deconvolution is in estimating the distribution of a random variable based on its noisy observations. The goal of matrix estimation is in estimating the entries of a large matrix from observed entries, which are noisy versions of entries in a small fraction of the entire matrix. We study the rate of convergence for estimation of matrices with a certain monotonicity property. It turns out to be equivalent to solving a robust version of the deconvolution problem. As the main result of this paper, we provide a simple, intuitive algorithm for matrix estimation which extends the works by Fan (1991) and Delaigle et al.(2008). We show that our computationally efficient method achieves near optimal minimax rate for the matrix estimation as well as robust deconvolution. This rate is within a constant factor to the rate achieved by the kernel deconvolution estimator in the classical setup.",0,"Monotone Matrix Estimation via Robust Deconvolution
D Shah, D Song - arXiv preprint arXiv:1803.03469, 2018
Related articles",{},,,,,,,,,
