Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Source,Book
Design of discrete frequency-coding waveforms using phase-coded linear chirp for multiuser and MIMO radar systems,"Mohit Kumar Joshi, Sandeep Kumar Vyas, T Tiwari, Ratnajit Bhattacharjee",,,,,,"This paper presents the design of X-band RF window capable of handling peak and average powers of 2 MW and 2 kW, respectively at the 9.3 GHz frequency. A pillbox type RF window is designed using WR112 as input and output section of the pillbox. The simulated VSWR, return loss, and insertion loss of alumina 96% are obtained as 1.01, 46 dB, and 0.1 dB, respectively. The results obtained from CST and HFSS are compared and are found in good agreement. The window is designed using three different dielectric materials ie alumina 96%, alumina 99.5%, and sapphire. Thermal analysis of the window is carried out for 2 kW average input power. It is observed that sapphire has better thermal and EM performance than 96% and 99.5% alumina. The effect of the different loss tangents ie 0.01, 0.001, 0.0004 on the return loss and temperature profile is studied. The RF window is also studied for 4 kW and 8 kW average input powers. The maximum temperature for alumina 96% with loss tangent 0.01 is achieved as 95.2 ºC, 160 ºC, and 291 ºC for average input powers of 2 kW, 4 kW, and 8 kW, respectively.",0,"Study of High Power X-band RF Window
MK Joshi, SK Vyas, T Tiwari, R Bhattacharjee",{},,,,
Radiation field analysis of a photoconductive antenna using an improved carrier dynamics,"R Bhattacharjee, BS Paul",,,,,,MIMO systems have gained immense attention in the recent times for supporting high data rates and reliability. Different MIMO channel models have been proposed in the literature. Geometrically based single bounce one ring channel model is a widely used technique for modeling the channel. Evaluation of the performance of the channel has been widely studied under a uniform linear and circular array assumption. Other easily implementable array geometries require to be explored. In this paper four different array geometries each having four elements have been studied.,0,"Effect of array geometry on the capacity of outdoor MIMO communication
R Bhattacharjee, BS Paul
All 2 versions",{},,,,
Microstrip antenna feeds for offset reflector antenna for cross-polarization reduction at both diagonal and asymmetric planes,"Ratnajit Bhattacharjee, BS Babu",,,,,,"Channel modeling plays an important role in understanding the behavior and designing of communication systems for different environments. In this paper, we make a brief review of the different channel modeling techniques used to model a multiple-input-multiple-output (MIMO) wireless channel.",0,"MIMO Channel Modeling: A Review
R Bhattacharjee, BS Babu
All 2 versions",{},,,,
Novel graphene based antennas for the terahertz region,"Ratnajit Bhattacharjee, BS Paul",,,,,,"In this paper, a generalized channel model for mobile-to-mobile communication based on the single bounce geometrybased channel modeling techniques has been proposed and analyzed. The model assumes the scatterers to be present in annular strips around the transmitting and the receiving mobile stations. Time of arrival and angle of arrival statistics, being two important channel parameters, have been derived and verified through computer simulations.",0,"Time and angle of arrival statistics of mobile-tomobile communication channel employing dual annular strip model
R Bhattacharjee, BS Paul
All 2 versions",{},,,,
STAP Based Detector for Multi-Dynamic Radar in Homogeneous Clutter Scenario,"M VastramNaik, A Mahanta, R Bhattacharjee, HB Nemade",,,,,,"This paper addresses Automatic Blind Modulation Recognition (ABMR) problem, utilizing a Mean Square Error (MSE) decision rule to recognize and differentiate M-ary PSK modulated signals in presence of noise and fading. The performance of the modulation recognition scheme has been evaluated by simulating different types of PSK signals. By putting appropriate Mean Square Error Difference Threshold (MSEDT) on Mean Square Error (MSE), the proposed scheme has been found to recognize the different modulated signals with 100% recognition accuracy at Signal to Noise Ratio (SNR) as low as 1 dB in AWGN channels. The data samples required to be used for performing recognition is very small, thereby greatly reducing the time complexity of the recognizer. For fading signal Constant Modulus (CM) equalization has been applied prior to performing recognition. It has been observed that when CM equalization is used, 100% recognition can be achieved at SNR as low as 6 dB.",0,"AN AUTOMATIC BLIND MODULATION RECOGNITION ALGORITHM FOR M-PSK SIGNALS BASED ON MSE CRITERION
M VastramNaik, A Mahanta, R Bhattacharjee…
All 2 versions",{},,,,
Blind modulation recognition of the lower order PSK signals under the MIMO keyhole channel,"Arhum Ahmad INDIA India, Sahar Almahfouz Nasser, Nachiket Ayir, Sibi Raj B Pillai, Akshay Bajpai, Gouranga Bala IITB India, Shubhang Bhatnagar, Mrinmoy Bhattacharjee, Ratnajit Bhattacharjee, Sankha Bhattacharjee, Sagnik Bhattacharyya, Sudip Biswas, Vivek A Bohara, Sumohana Channappayya, Pratik Chattopadhyay, Venkatarami Reddy, Lokendra Chouhan, Vikram Cm, Sam Darshi, Rohan Kumar Kumar Das, Singapore Kuntal Deka, Bikash K Dey, Kalpana Dhaka",,,,,,"Additional Reviewers Page 1 Additional Reviewers Ananth A Indian Institute of Information Technology Kottayam India Nagaraj Adiga Zapr Media Labs India Arhum Ahmad INDIA India Sahar Almahfouz Nasser Indian Institute of Technology Bombay India Nachiket Ayir Tampere University Finland Sibi Raj B Pillai IIT Bombay India Akshay Bajpai Indian Institute of Technology Bombay India Gouranga Bala IITB India Sourav Banerjee Indian Institute of Technology, Dharwad India Atul Banotra Indian Institute of Technology Jammu India Anand Baswade Indian Institute of Technology Bhilai (IIT Bhilai) India Shubhang Bhatnagar Indian Institute of Technology Bombay India Mrinmoy Bhattacharjee Indian Institute of Technology Guwahati India Ratnajit Bhattacharjee IIT Guwahati India Sankha Bhattacharjee IIT Gandhinagar India Sagnik Bhattacharyya IIT Ropar India Sudip Biswas Indian Institute of Information Technology, …",0,"Ananth A
AAI India, SA Nasser, N Ayir, SRB Pillai, A Bajpai…",{},,,,
Optimal Design of a Coaxial Cavity Based on Quality-Factor Maximization for High-Power Coaxial Magnetron in  -Band,"Kaushik Debbarma, Ratnajit Bhattacharjee",,,,,,"This paper presents a comparative performance analysis of offset reflector fed by circular and square array of circular microstrip antennas. The performance analysis is done for an offset reflector targeted for VSAT application operating at 20 GHz. The offset reflector has a projected diameter, D= 0.75 m and clearance height, H= 0.075 m with an F/D ratio of 0.8, where F is the focal length of the main paraboloid. A parametric study has been done to obtain the optimum separation between the array elements in both array configurations. Cross-polar performance of the secondary field pattern of the offset reflector is considered for this parametric study. Both array configurations with optimum separation between antenna elements provide cross-polarization better than-30 dB at 20 GHz. The-30 dB cross-polar bandwidth for the square and circular array configuration is around 2.5 GHz and 3.1 GHz, respectively. Feasibility of a duplex link is explored by investigating the performance of the same reflector fed by SCA of circular microstrip antennas operating at 30 GHz. Cross-polarization levels below-30 dB is achieved using the SCA feeds at 30 GHz.",0,"2-D Circular Microstrip Patch Array Fed Offset Reflector Antenna for VSAT Application
K Debbarma, R Bhattacharjee
Related articles",{},,,,
Analysis of offset reflector performance fed by 2× 2 microstrip antenna array using GO technique,"Shaik Rafi Ahamed, M Jaleel Akhtar",,,,,,Technical Program Committee Page 1 Technical Program Committee Antony Franklin A Indian Institute of Technology Hyderabad India Amit Acharyya IIT HYDERABAD India Samar Agnihotri Indian Institute of Technology Mandi India Monika Agrawal IIT India Shaik Rafi Ahamed Indian Institute of Technology Guwahati India M Jaleel Akhtar Indian Institute of Technology Kanpur India SaiDhiraj Amuru Samsung India Prince Anandarajah Dublin City University Ireland Amod Jai Ganesh Anandkumar MathWorks India Pvt. Ltd. India Sanya Anees Indian Institute of Information Technology - Guwahati India Kumar Appaiah Indian Institute of Technology Bombay India Dileep Aroor Dinesh Indian Institute of Technology Mandi (IIT Mandi) India Ashwin Ashok Georgia State University USA M. Ashok Kumar Indian Institute of Technology Indore India Sibi Raj B Pillai IIT Bombay India Vineeth Balasubramanian IIT Hyderabad India …,0,"Antony Franklin A Indian Institute of Technology Hyderabad India Amit Acharyya IIT HYDERABAD India Samar Agnihotri Indian Institute of Technology Mandi India Monika Agrawal IIT India
SR Ahamed, MJ Akhtar",{},,,,
Cooperative spectrum sensing using quantized energy statistics in the absence of dedicated reporting channel,"Amit Qusba, Nishant Mallick, Abhijit Mitra, Ratnajit Bhattacharjee",,,,,,"In this paper, we evaluate the performance of STBC for a 2× 2 MIMO system in a simulated Nakagami-m fading environment. Utilizing the space-time cross correlation parameters obtained from a one ring model, a correlated Nakagami-m 2× 2 channel is realized. Performance of STBC is obtained for such a correlated channel by varying several physical parameters of interest such as antenna separation at base and mobile stations, scatterer distribution around mobile station, angle of departure at base station. BER performance of STBC over this correlated Nakagami-m channel with the said parameter variations is compared with that of a 1× 4 MRC under similar conditions.",0,"On STBC Performance with an Efficient MIMO Channel Characterization
A Qusba, N Mallick, A Mitra, R Bhattacharjee
Related articles",{},,,,
Magnetic field-assisted radiation enhancement from a large aperture photoconductive antenna,"V Prapulla, A Mitra, R Bhattacharjee, S Nandi",,,,,,"We present a fractionally spaced adaptive decision feedback equalizer (FS-ADFE), employing exponential step-size least mean square (LMS) algorithm as the adaptation technique. The adaptive equalizer is designed to compensate multipath degradation of a π 4 differential quadrature phase shift keying (π 4-DQPSK) modulated signal. The main advantage of the procedure is the deployment of exponential step-size LMS algorithm in the equalizer, which yields similar convergence performance as that of recursive least squares (RLS) with significantly reduced computational complexity. The proposed equalizer, along with the π",0,"A Fractionally Spaced DFE with Exponential Step-Size LMS Algorithm
V Prapulla, A Mitra, R Bhattacharjee, S Nandi
Related articles",{},,,,
Wideband Matched Feed Design Employing Conjugate Field Radiated from a Square Choke Excited by Two Slots on a Diagonal Waveguide,"Kaushik Debbarma, Ratnajit Bhattacharjee",,,,,,"This paper investigates an offset reflector antenna system fed by a linearly polarized one dimensional microstrip array feed. For an offset reflector antenna system, the feed plays a critical role in determining the system performance. Here, the cross-polar and side lobe levels for an offset reflector antenna operating in the Ka band at downlink frequency of 20 GHz are evaluated for three different types of array feeds (uniform, binomial and Dolph-Tschebyscheff) placed at the focal plane. The antenna arrays are designed to illuminate an offset reflector antenna having a diameter D= 50 λ and F/D ratio 0.6, F being focal length. The reflector antenna performance is also observed for different offset angles. The simulation studies have been carried out using HFSS 15.0.",0,"Comparative study of different types of antenna arrays as feed for an offset reflector antenna at 20GHz
K Debbarma, R Bhattacharjee
Related articles",{},,,,
Analytical modelling of carrier concentration and conductance in terahertz photomixing antennas,"Ranajit Das, Abhijit Das, Siddhartha Mukhopadhyay, RN Bhattacherjee",,,,,,"The nonlinearity and coupling of the aerospace vehicle dynamics can be linearized and decoupled by well known feedback linearization techniques. The fundamental problem of feedback linearization technique is that it is not able to handle the model uncertainty. Significant research works have been carried out in order to overcome the above aspect. In this paper, a new robust nonlinear controller structure using feedback linearization technique is proposed. The design is carried out in two time scale separation. The fast dynamics (inner body rate loop) and slow dynamics (outer latax loop) are controlled separately by two nonlinear controllers. The performances of the design in terms of robustness, minor coupling between the longitudinal motion and lateral motion, stability and guaranteed tracking are shown in a realistic 6-DOF simulation.",0,"Nonlinear Design of Three Axes Autopilot for a Tactical Aerospace Vehicle
R Das, A Das, S Mukhopadhyay, RN Bhattacherjee
Related articles All 3 versions",{},,,,
Design of Ambiguity Function for Multi-Dynamic Radar extension of Multi-Static Radar,"Ratnajit Bhattacharjee, Rakhesh Singh Kshetrimayum",,,,,,"This communication gives an overview of the microstrip technology related works that are done in the department of Electronics and Communication Engineering (ECE), Indian Institute of Technology (IIT) Guwahati. The communication also covers the various facilities developed in the department in terms of measurement and fabrication facilities and CAD tools/software’s.",0,"An overview of Microstrip Technology related works at the Department of ECE, IIT Guwahati
R Bhattacharjee, RS Kshetrimayum",{},,,,
