Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution,Inventors,Patent office,Application number,Report number
"Human resource management in India: strategy, performance and complementarity","Surya Prakash Singh, Ramesh Kumar Tripathi",,,,,,This paper presents the required harmonic power and rating issues of the active filter and power components. A design procedure is presented to select the dc bus capacitor that covers all modes of operation. The effect of the dc bus ripple on the compensation capacity is analyzed. A typical problem is included to illustrate the design approach followed by a simulation results showing the static performance of the active filter.,0,"Rating Issues and DC Bus Capacitor Selection for Design of a Three-Phase Four-Wire Active Filters
SP Singh, RK Tripathi
Related articles All 6 versions",{},,,,,,,,,
Managing the pests of oilseed crops in an ecofriendly way,"SURYA PRAKASH SINGH, D SESHACHALAM, CHANDRESH AGRAWAL",,,,,,"Progress on the important issue of protection of software through intellectual property laws is examined in selected countries outside the trilateral partners (US, European and Japanese Patent Offices). The countries covered are Russia, China, Taiwan, India, Israel, Lebanon, Jordan, Ethiopia and South Africa. The extent, to which their laws confirm to international treaties and to domestic requirements, and the balance between software protection through patents and through copyright, are both explored. The effects of the current fragmentation of the law in some respects across these countries and the pressure for global conformity in a global marketplace are discussed.",0,"Historical Perspective on IP Protection for Software in Selected Countries world wide
SP SINGH, D SESHACHALAM, C AGRAWAL
Related articles",{},,,,,,,,,
"Antifungal efficacy of fungicides against foliar blight of barley, Bipolaris sorokiniana.","Surya Prakash Singh, Ramesh Kumar Tripathi",,,,,,"Nowadays, the proliferation of non-linear loads (especially power electronics equipment) leads to deterioration of the quality of voltage waveforms at the point of common coupling (PCC) of various consumers. In view of the wide spread use of harmonics-sensitive electronic equipment, power conditioning equipment is becoming more important for both electric utilities and their customers. With rapid development of power semiconductor devices in power and control circuits, a new generation of equipments that help maintaining a good level of power quality, namely active power filters, has been developed. Theirs advantages over conventional means are more flexibility and very fast control response. This paper aim to present the actual status of active power filters based on state of the art power electronics technology and also their future prospects and directions.",0,"Modern Trend in Active Power Conditioning
SP Singh, RK Tripathi
Related articles",{},,,,,,,,,
Frosting Effect on Potato and its management,"Satyaveer Gupt, Deependra Singh, SP Singh, Manish Trikha, ME Scholar",,,,,,"AS the last decade witnessed a widespread revolution in power electronics which boosted the public awareness towards the power quality problems [1]. However power electronics based equipments such as adjustable–speed motor drives, electronic power supplies, DC motor drives, battery chargers are responsible for the rise in power quality related problems.",0,"Performance Investigation of Shunt and Hybrid Active Power Filters for Power Quality Improvement
S Gupt, D Singh, SP Singh, M Trikha, ME Scholar
Related articles",{},,,,,,,,,
Secure and efficient integrity algorithm based on existing SHA algorithms,"SP Singh, RK Tripathi",,,,,,"A major drawback in case of three-level PWM rectifiers is unbalance in DC-bus capacitor voltage which is further aggravated under unbalanced load conditions. The DC-bus capacitor voltage unbalancing is created due to irregular charging and discharging of the capacitor which is originated by asymmetric connections produced by power semiconductor devices in the converter. The capacitor voltage unbalancing has become a burning issue and has invited an intensive research to address this problem in multilevel inverters. The key aspect in the behavior of multilevel rectifiers is to avoid the unbalance in DC-bus capacitor voltages.
In the proposed work, a linear controller is used to control the total DC-bus voltage in a similar fashion as in twolevel PWM rectifiers. A non-linear controller is proposed to achieve the balancing of the DC-bus capacitor voltages. In fact, the mechanism which generates the DC-bus capacitor voltage unbalancing is studied and is used to develop the proposed control algorithm. The redundant switching vectors are used for achieving the capacitor voltage balancing. The proposed control algorithm is referred to as voltage balancing",0,"DC Bus Capacitor Voltage Balancing Strategy in NPC Converter
SP Singh, RK Tripathi
Related articles All 3 versions",{},,,,,,,,,
CFD Analysis and Enhancement Of Heat Transfer In Rectangular Channel Using Blockage with Elongated Hole,"SP Singh, RK Tripathi",,,,,,"In recent years, many power electronic converter utilizing switching devices like SCRs have been widely used in domestic, commercial and Industrial applications. Despite numerous advantages, these power electronic systems suffer from serious problem like drawing harmonic current and reactive component of the current from source and offer highly nonlinear characteristic. Current harmonics generated by these nonlinear loads further results in voltage distortion at the point of common coupling and this distortion in voltage is becoming troublesome for the operation of many sensitive equipment and other consumer loads.
Artificial Intelligence (AI) technique like Artificial Neural Network (ANN) has been elegantly used for better performance and control of the rectifier. In order to avoid the need for a DSP by avoiding the online timing computations for various voltage space vectors in various regions and sectors and produce higher pulse resolution, an ANN-based SVPWM technique is proposed in this paper. The performance of the ANN-based SVPWM NPC rectifier has been evaluated and found to be excellent.",0,"Performance Evaluation of Artificial Neural Network based SVPWM Technique for NPC Converter
SP Singh, RK Tripathi
Related articles All 3 versions",{},,,,,,,,,
Three level supply chain model with variable demand rate under partial trade credit policy,"Garima Singh, Bindeshwar Singh, SP Singh",,,,,,"This paper presents a comprehensive survey on applications of Artificial Intelligence (AI) Computational Techniques for solving the different problems in Mechanical Engineering fields such as thermal engineering, manufacturing process, design of electrical machines, welding engineering etc. Authors strongly believe that this survey article will be very much useful for the researchers, practitioners, and scientific engineers to find out the relevant references in the field of applications of Artificial Intelligence Computational Techniques in Mechanical Engineering fields such as thermal engineering, manufacturing process, design of electrical machines, welding engineering etc.",0,"Application of Artificial Intelligence Computational Techniques in Engineering Perspective: A Survey
G Singh, B Singh, SP Singh - Artificial Intelligence and Soft Computing
Related articles All 2 versions",{},56,,,Artificial Intelligence and Soft Computing,,,,,
P124 Do We Need A Practice Incremental Shuttle Walk Test For Patients With Interstitial Lung Disease Referred For Pulmonary Rehabilitation?,"KP Yadav, AK Gautam, SP Singh, Tarun Varshney",,,,,,"Single ended Converters, such as the Forward, Fly back, Cuk, Sepic, Zeta and others, are often chosen for enhancement simple low cost and low power converters. The use of only one switch and the relatively simple control circuit required are strong reasons for their choice. The discontinuous mode operation (DCM) of all single-switch topologies is most suitable for low power applications where these converters present excellent characteristics of Power Factor correction using a very simple control scheme with only one voltage feedback loop. current due to the direct connection of the diode to an electrolytic capacitor. The amount of line current distortion produced by the single low power converter is minimal. A large number of electronic devices generate a large amount of current distortion, and these results in environmental pollution such as electromagnetic interference.",0,"Power Quality Enhancement by Single Switch AC-DC Converter
KP Yadav, AK Gautam, SP Singh, T Varshney
Related articles All 3 versions",{},,,,,,,,,
"Histomorphological changes in neurosecretory cells of eyestalk, brain and thoracic ganglia of Penaeus monodon (Fabricius) in relation to ovarian maturation","Rajneesh Mishra, SP Singh, Deependra Singh, Dinesh Kumar",,,,,,This paper investigates the performance of an unipolar AC-AC converter fed three-phase induction motor drive using indirect space vector modulation technique. Modeling and simulation of the drive under comprised with the back to back voltage source converter under different loading conditions are presented in the MATLAB/Simulink environment. The simulation has been carried out on a 3 hp 60 Hz induction motor using MATLAB/Simulink and resulting waveforms corresponding to different loading conditions are presented to demonstrate the effectiveness of the proposed scheme.,0,"Performance Evaluation of Unipolar AC-AC Converter-fed Induction Motor Drive using SVPWM Technique
R Mishra, SP Singh, D Singh, D Kumar
Related articles",{},,,,,,,,,
Enhanced Visual Search Using Image Re-Ranking,S SINGH,,,,,The World Bank,The project consists of: (1) a rock-fill dam of 107 m in height; (2) an intake structure; (3) a headrace tunnel; (4) a surgetank; (5) a penstock; (6) an underground powerhouse containing two 30 MW turbo-generating units; (7) a tailrace tunnel; (8) associated transmission and substation facilities.,0,"Nepal-Kulekhani Hydroelectric Project
S SINGH",{},,,,,,,,,
"High pressure phase transition and elastic properties of ytterbium compounds YbX (X= O, S, Se and Te)","Harbir Kaur Rao, RS Gupta, SR Singh",,,,,,"The term cardiorenal syndrome has repeatedly been used to predict worst outcome when renal failure occurs as a result of ADHF. However, the pathophysiology of kidney disease in Heart Failure (HF) is quite different from the pathophysiology of cardiovascular complications in the setting of CKD3. Our focus is on the challenge of renal protection in ADHF.",0,"Challenge of Renal Protection in Acute Decompensated Heart Faliure
HK Rao, RS Gupta, SR Singh
Related articles All 2 versions",{},,,,,,,,,
A novel MGF based capacity over “Alpha-Mu” fading distribution,"Harbir Kaur Rao, RS Gupta, SR Singh",,,,,,"Normally, the cross-talk between the heart and the kidneys occurs through atrial-renal reflexes 3, which contribute to maintaining the total body volume in the normal range. In a nonfailing heart, any increase in atrial pressure diminishes the arginine vasopressin release (AVP) 4 through the Henry-Gauer Reflex, decreases renal sympathetic tone 5, and increases the atrial natriuretic peptide 6. All of these increase the urinary sodium and water excretion rate. In HF, however, there is blunting of these reflexes in the low-pressure circulation, probably secondary to being overridden by reflexes initiated in the high-pressure arterial circulation.",0,"CARDIORENAL AXIS
HK Rao, RS Gupta, SR Singh
Related articles",{},,,,,,,,,
EFFECT OF PRE-EXISTING JUXTA-ARTICULAR OSTEOPENIA IN PATIENTS UNDERGOING TOTAL KNEE REPLACEMENT,"E Mills, J Nachega, S Singh",,JAMA,,,,"Background:
Adherence to antiretroviral therapy is the most powerful predictor of survival for people living with HIV/AIDS. Authorities have assumed that adherence in Africa would be sub-optimal, which, in some circumstances, has led to restrictions in access to antiretroviral drugs. We reviewed the available evidence regarding adherence to antiretroviral therapy in Africa versus North America.
Methods: We searched 11 electronic databases, major conference abstract databases, contacted researchers, treatment and advocacy groups, and searched the Internet. We selected studies of mixed populations in both North America and Africa. We abstracted data in duplicate on study adherence outcomes, thresholds used to determine adherence and characteristics of the populations. We performed a random effects meta-analysis and examined heterogeneity using multivariate random-effects logistic regression.
Findings …",1,"Adherence to antiretroviral therapy in Africa versus North America: a comparative meta-analysis
E Mills, J Nachega, S Singh - JAMA
Cited by 1 Related articles",{'2006': 1},,,,,,,,,
CONCURRENT CHEMORADIATION THERAPY CONFERS BETTER SURVIVAL OUTCOMES IN PATIENTS WITH LOW BASELINE HPV TITRES.,"ANURAG JAIN, IP JAIN, SP SINGH, ASHA AGRAWAL",,,,,,"Objective: To compare the hepatoprotective activity of Silymarin in CCl4 induced hepatotoxicity in albino Rab Methods: The study was conducted on 18 healthy albino weighing 1.5-2.0 kg, divided into 3 groups. Hepatotoxic rabbits by carbon tetra chloride (CCl4) 0.05 mg/kg, intrap extracts of roots of Boerhaavia diffusa and Silymarin for 20 days from 1 day to day 20 in the doses of 100mg/kg syringe. Results: Group I: The rise of serum transamina alkaline phosphatase (p< 0.001)., serum bilirubin (p< 0.00 serum albumin (p< 0.001) due to hepatotoxic effect of CCl zero day of same group (p< 0.001). Group II: B fall in the level of serum transaminase, serum alkaline bilirubin and increased in serum albumin in a statisti amount (p< 0.001), when compared with 11 (group I). Group III: Silymarin was decrease the level of SG (p< 0.0001), serum alkaline phosphatase (p< 0.0001 (p< 0.0001) and increased in serum albumin (p< 0.0001) i significant amount, when compared with11 significance difference (p> 0.10) found in SGOT, SGPT Albumin respectively when we compared group II & group I",0,"A COMPARATIVE STUDY ON HEPAT DIFFUSA AND SILYMARIN IN CCl
A JAIN, IP JAIN, SP SINGH, A AGRAWAL
Related articles All 2 versions",{},,,,,,,,,
URINARY LEVELS OF C-TERMINAL CROSSLINKED TELOPEPTIDE TYPE 1 AS A DIAGNOSTIC INDICATOR OF KNEE OSTEOARTHRITIS,"JITIN RAHUL, SP SINGH",,,,,,"Medicinal plants play an important role in the health care system of most developing countries. The traditional health care practice is mainly dependent on medicinal herbs collected from the Bhagwantpura region, District Jhansi. Bhagwantpura is rich in medicinal herb Plants. The present paper reported 18 herbs medicinal plant species belonging to 14 families and 16 genera. These herb plants are used by the Rural peoples for the treatments of various disease like Leprosy, cough, diaphoretic, skin disease, piles, Diarrhoea, desentery, Haemorrhoids, asthma, colic jaundice, pneumonia, purifies blood, fever, ulcer, snake bite and antiseptic, the present paper focused on botanicals identity, family, local name, parts used diseases and medicinal uses.",0,"SOME MEDICINAL HERBS OF BHAGWANTPURA REGION OF JHANSI DISTRICT, UTTAR PRADESH, INDIA
J RAHUL, SP SINGH
Related articles",{},,,,,,,,,
PCR Array Based Approach to Find IL-6/STAT3 Mediated Downstream Target Genes Involved in the Skeletal Pathogenesis of Hyper-IGE Syndrome,"Priyanka Sharma, Simar Preet Singh",,,,,,"The mobile ad hoc network is the network in which mobile nodes are free to move in any direction without any central control. When these nodes combine they form a network. The VANET comes under the MANET as one of its type. The smart cars in VANET moves freely in the city area. There are two types of communication possible in VANET ie vehicle to vehicle and vehicle to infrastructure. The smart cars ie the intelligent vehicles are defined respective to their distance, direction and speed analysis. If there is any accident happened in that network then the node sends this information to its neighbour node and like this the information is spread in all over the network. Similarly at the time of handoff one RSU sends the information to next RSU, so that the required information of node’s speed, directions, distance is known to the RSU in advance and hence help in reducing the delay at the time of handoff. In this there is a RSU which is attached to the main server. The vehicles communicate with radio waves and vehicle send the information of accident to the RSU which transfers it to the main server and the main server broadcast it to the other RSUs so that all the mobile nodes get this information. The servers replicate and send this information to all vehicles and the vehicles can change their direction and choose other path to reach their destination. In this paper, beacon frame range of RSU and threshold value has been discussed which helps in creating a synchronized relationship between road side unit which can help in reducing delay of packets and increasing throughput at the time of handoff of node from one road side unit to next road side unit.",0,"A Novel Delay Optimization Technique in VANET using Beacon Frame Range
P Sharma, SP Singh
Related articles",{},,,,,,,,,
DOES THE CHILD-PUGH SCORE PREDICT ICU SURVIVAL IN THE CRITICALLY ILL PATIENT WITH CHRONIC LIVER FAILURE?,"G Girish, K Lakshmi Narayana, P Gopkumar, Thawatchai Phaechamud, Jeanetta du Plessis, Qinghua Xia, U Michael Uwumagbe, Suleyman Aydin, Nabil Mohie Abdel-Hamid, B Aravind, Amrutha Radhakrishnan, Vandana B Patel, Shashikanth Pattan, Sayeeda Sultana, Cemil Ibis, Mr JS Patil, Liviu Mitu, Laila Abou-Zeid, M Aruna Devi, GS Chakraborthy, Kundlik Girhepunje, Bhaskar Muzumder, Ch VR Murthy, Subhash C Mandal, Prabhakar Reddy Veerareddy, Mahesh Kumar Gupta, Suvakanta Dash, CS Shastry, DV Derle, Raghavendra Kulkarni, Saikat Dewanjee, Shailesh T Prajapati, GS Gadaginamath, Tanay Kesharwani, Pengyun Zeng, Yatin Shukla, Raviraj Kulkarni, Anthony Palmieri III, DK Sharma, Mr D Nagasamy Venkatesh, Amit G Nerkar, Ajay Singh, Ashok R Chandak, Sitaram Bhavaraju, SP Singh, Mr Ritu mehra Gilhotra, Mr Devang S Patel, Mr Jayapal, Ragip Adiguzel, C Gopinath, Arugadoss Devakumar, Tarek Saied Fathalla Bellal, Mr T Srinivasa Rao",,,,,,"Untitled Page 1 Page 2 3/7/2014 Welcome To RJPBCS http://rjpbcs.com/editorial.html 1/2 Search Editor-in-Chief (Hon.) Dr. Girish G United Kingdom Associated Editor (Hon.) Dr.K.Lakshmi Narayana India Managing Editor Prof. Gopkumar P India Editorial Advisory Board Members Dr. Thawatchai Phaechamud Thailand Prof. Jeanetta du Plessis, South Africa Prof. Dr. Qinghua Xia, China Dr.U. Michael Uwumagbe, Nigeria Prof. Dr. Suleyman Aydin, Turkey Dr. Nabil Mohie Abdel-Hamid, Egypt Dr. Aravind B, India Mrs. Sridevi G, India Dr.Amrutha Radhakrishnan, India Dr. Vandana B. Patel, India Dr. Shashikanth Pattan, India Dr. Sayeeda Sultana, India Prof.Dr.Cemil Ibis, Turkey Mr.JSPatil, India Prof.Dr.Liviu Mitu, Romania Dr.Zambare Vasu deo P, USA Dr.(Mrs). Sanjita Das, India Dr.Laila Abou-Zeid, Egypt Dr.M.Aruna Devi, India Dr.Chakraborthy GS, India Dr. Kundlik Girhepunje, India Dr. Bhaskar Muzumder, India Prof.Dr…",0,"Associated Editor (Hon.)
G Girish, KL Narayana, P Gopkumar, T Phaechamud…
Related articles All 2 versions",{},,,,,,,,,
"Hormonal regulation of growth, chlorophyll and protein levels, and the net photosynthesis rate in green bean plants","Sumit Arora, SP Singh, Sanjay Goel, Amardeep Singh",,,,,,"The paper reports the study of compressive strength, flexural strength and flexural toughness of Self Compacting Concrete (SCC) and Self Compacting Fibre Reinforced Concrete (SCFRC). An experimental programme was planned in which beam specimens of size 100 mm x 100 mm x 500 mm were tested under three point static flexural loading to obtain the flexural strength of SCFRC. In addition, cube specimens of size 150 mm x 150 mm x 150 mm were also tested on 2000 kN compression testing machine to obtain compressive strength of specimens. The mix containing different fibre volume fractions of steel fibres at 0.5%, 1.0% and 1.5%, each volume fraction incorporating 15%, 30% and 45% fly ash as partial replacement of cement were prepared. In addition, a few SCC (no fibres) mixes containing 15%, 30% and 45% fly ash as partial replacement of cement were also prepared. The flexural toughness parameters were obtained using procedure laid down in ASTM C-1018, JCI Method and ASTM C-1609/M. The results indicate that maximum increase in compressive strength as well as flexural strength over that of control concrete mix (SCC with 15% fly ash) is obtained for SCFRC containing 1.5% volume fraction of fibres at 15% of fly ash as partial replacement of cement. The maximum value of flexural toughness was obtained for SCFRC mix containing 1.5% volume fraction of fibres at 30% of fly ash as partial replacement of cement.",0,"STRENGTH AND FLEXURAL TOUGHNESS OF SELF COMPACTING FIBRE REINFORCED CONCRETE
S Arora, SP Singh, S Goel, A Singh
Related articles",{},,,,,,,,,
Joint cost minimization approach for three echelon supply chain system with multiple buyers under inflation,"Roshan Lal, NP Devgan, Bhupinder Singh, SP Singh",,Pan,11.0,,,"In the present study conventional arrangements of detailing of rebars in the opening corners have been shown to be structurally inadequate and an improved but simple detailing of opening corners has been proposed which gave corner efficiencies in the range of 90 to 95%. The work includes performance review of three recommended detailing systems namely, L-type (SP1), inverted U-type with corner stirrups (SP2), U-bars lap spliced with the main reinforcement (SP3) and on the basis of observed behavior, a modified detailing arrangement, to be used in the corner joints subjected to opening moment has been recommended. The experimental work consisted of testing nominally identical planer portal-type opening corner specimens made of normal strength concrete under monotonically increasing static loads. The results obtained are analysed in terms of crack widths, ultimate load and corner efficiencies of the specimens.",0,"INTERNATIONAL JOURNAL OF ENGINEERING SCIENCES & RESEARCH TECHNOLOGY REINFORCEMENT DETAILING FOR OPENING CORNERS
R Lal, NP Devgan, B Singh, SP Singh - Pan
Related articles All 3 versions",{},1000,,,,,,,,
Modeling evolution of a social network using temporalgraph kernels,"OO DIPEOLU, V KHAN, KJ MBATA, SP SINGH, MC DEVAIAH NARAYANASWAMY, BL VISWBSWARA GOWDA, R GOVINDAN, GV PRASAD REDDY, C DEVARAJ URS, GV RANGA RAO, JA WIGHTMAN, DV RANGA RAO",,,,,,"Note you can select to save to either the@ free. kindle. com or@ kindle. com variations.‘@ free. kindle. com’emails are free but can only be saved to your device when it is connected to wi-fi.‘@ kindle. com’emails can be delivered even when you are not connected to wi-fi, but note that service fees apply.",0,"GO OLATUNDE, JA ODEBIYI and
OO DIPEOLU, V KHAN, KJ MBATA, SP SINGH…
All 3 versions",{},,,,,,,,,
Interaction Effect of Different Nitrogen and Seed Rate Levels on Sweet Sorghum Feedstuff,"L Huang, LS Brinen, JA Ellman, EL May, A Coop, JH Woods, MD Aceto, ER Bowman, LS Harris, JR Traynor, OA Phillips, EE Udo, AAM Ali, N Al-Hassawi, G DeSantis, J Liu, DP Clark, A Heine, IA Wilson, CH Wong, K Matsushita, Y Sugiura, A Rosowsky, H Chen, H Fu, SF Queener, B Cao, S Endsley, NH Andersen, TR Webb, D Lvovskiy, SA Kim, X Ji, N Melman, J Linden, KA Jacobson, G Jimenez Bueno, T Klimkait, IH Gilbert, C Simons, A Hirashima, T Eiraku, Y Shigeta, E Kuwano, HH Ko, LT Tsao, KL Yu, CT Liu, JP Wang, CN Lin, CYK Tan, D Wainman, DF Weaver, G Roma, M Di Braccio, A Carrieri, G Grossi, G Leoncini, MG Signorello, A Carotti, FG Njoroge, B Vibulbhan, P Pinto, CL Strickland, WR Bishop, P Kirschmeir, V Girijavallabhan, AK Ganguly, YL Huang, CF Lin, YJ Lee, WW Li, TC Chao, VA Bacherikov, KT Chen, CM Chen, TL Su, LX Wang, J Ni, S Singh",,,,,,"367 Design, Synthesis and Biological Activity of YM-60828 Derivatives. Part 2: Potent and Orally-Bioavailable Factor Xa Inhibitors Based on Benzothiadiazine-4-one Template",0,"G. Agnihotri and H. Liu
L Huang, LS Brinen, JA Ellman, EL May, A Coop…",{},,,,,,,,,
Immature ovarian teratoma with peritoneal gliomatosis,"PK TYAGI, SP SINGH, TS DUDWE",,THE JOURNAL OF RURAL AND AGRICULTURAL RESEARCH,,,,"A survey of weed flora of soybean was undertaken to study the floristic composition of weeds in soybean [Glycine max (L.) Merrill] at 44 fields of farmer’s in different blocks of Tikamgarh district viz., Tikamgarh, Prithvipur and Niwari during July to August, 2007 and 2008. The survey revealed that fields were infested with 26 weed species belonging to 11 families. Out of 26 weed species recorded, 9 species were of grasses, two of sedges and 15 species belonged to broadleaf weeds. The most abundant grass weed species were Cynodon dactylon, Elusine indica, Dactyloctenium aegyptium and Digitaria cilliaris. The density of these weed species in Tikamgarh, Prithivipur and Niwari blocks varied from 2.4 to 8.4 plants/m2, 2.8 to 6.1 plants/m2 and 4.8 to 9.2 plants/m2, respectively. Among 15 species of broadleaf weeds, Celosia argentia, Commelina benghalensis, Trianthema monogyna and Euphorbia hirta were the major broadleaf weeds with varied density from 6.8 to 10.2 plants/m2 in Tikamgarh block, 5.4 to 12.0 plants/m2 in Prithivipur block and 9.8 to 13.4 plants/m2 in Niwari block.",0,"Weed flora of soybean [Glycine max (L.) Merrill] in different blocks of Tikamgarh district of Madhya Pradesh
PK TYAGI, SP SINGH, TS DUDWE - THE JOURNAL OF RURAL AND AGRICULTURAL …
Related articles All 2 versions",{},28,,,,,,,,
Effect of bio-fertilizer azospirillum on growth and yield parameters of coriander (Coriandrum sativum L.) cv. Pant Haritima,"Vineet Kumar, SR Singh",,,,,,"In this article, an inventory model with ramp type demand rate is developed. The deterioration of products is considered as a function of time. Shortages are partially backordered with a time varying backordering rate. The objective of this study is to minimize the total cost of the system. Finally, numerical example is provided to illustrate the theory of the proposed model and sensitivity analysis is also performed.",0,"An Order Model for Deteriorating Products with Time Dependent Demand
V Kumar, SR Singh
Related articles",{},,,,,,,,,
Studies on the Leachate Characteristics of Compacted Fly Ash Bed Treated with Lime Column,"MD Newlands, Ravindra K Dhir, SP Singh",,,,,,"The paper is concerned with selecting materials for concrete that is both durable and sustainable and the issues associated with achieving this. The paper starts by reviewing the current situation in standards and then progresses to consider the work of several studies exploring sustainability options for concrete (through novel cement combinations, efficiency in mix proportioning and alternative aggregates) and their influence on various aspects of durability (including carbonation rates, chloride ingress and freeze/thaw attack). It is demonstrated that these can be used to effectively match the performance of conventional concrete. The paper then explores the relationship between durability (chloride ingress) of various cement combination concretes and their environmental impact (measured in terms of embodied CO2 (ECO2)). This suggests that there is likely to be the need for some compromise in achieving performance and lowest ECO2. It is also noted that some of the low ECO2 concretes require longer times to attain the early strength necessary for structural applications. Thus factors relating to construction may also need to be included when considering durability and sustainability in the material selection process.",0,"COMBINING DURABILITY AND SUSTAINABILITY IN MATERIAL SELECTION FOR CONCRETE
MD Newlands, RK Dhir, SP Singh
Related articles All 3 versions",{},,,,,,,,,
Effects of Strength of Confining Material on Strength and Deformation of Stone Column,"E Grosswald, D Handelman, JN Henry, DC Taylor, MJ Hodel, SK Jain, S Singh, R Kane, Alvin J Kay, AS Kechris, Ka-Sing Lau, I Madsen, RC Metzler, A Nobile, GE Petersen, GV Welland",,,,,,"X= XYZX 103 Pacific Journal of Mathematics IN THIS ISSUE— Donald Earl Bennett, Strongly unicoherent continua.................................................. 1 Walter Russell Bloom, Sets of p-spectral synthesis................................................... 7 Richard Thomas Bumby and David Earl Dobbs, Amitsur cohomology of quadratic extensions: formulas and number-theoretic examples................................................................ 21 W. Wistar (William) Comfort, Compactness-like properties for generalized weak topological sums........ 31 Dennis Robert Dunninger and John Stewart Locker, Monotone operators and nonlinear biharmonic boundary value problems...................................................................... 39 Theodore Erickson, Wallace Smith Martindale, III and J. Marshall Osborn, Prime nonassociative algebras..................................................................................... 49 Pál Fischer, On the inequality∑ ni= 0[f (pi)/f (qi)] pi≥ i............................................. 65 Geoffrey Fox …",0,"X= XYZX 103
E Grosswald, D Handelman, JN Henry, DC Taylor…",{},,,,,,,,,
The Hindi named entity recognizer using hybrid morphological analyzer framework,"Harsha Ohri, Brijesh Singh, R Mahanty, SP Singh",,,,,,(OPF) problem of large transmission system using genetic algorithm (GA) based optimization method. The objective is to minimize the fuel cost and keep the outputs of generators in their secured limits without violating the of line limits in power networks. The study has been conducted on an IEEE-30 bus system. The results show clearly the effectiveness of the suggested method in centralized power market for optimal scheduling of generators.,0,"Optimal Power Flow in Centralized Power Network Using Genetic Algorithm
H Ohri, B Singh, R Mahanty, SP Singh
Related articles",{},,,,,,,,,
Performance investigation of SVPWM controlled diode clamped and flying capacitor multilevel converters,"S Biswal, T Prakash, C Bohidar, SP Singh",,,,,,"Economic Load Dispatch (ELD) is a method of formative the most efficient, economical and reliable operation of a power system by dispatching available electricity generation resources to supply load on the system. The prime objective of economic dispatch is to minimize total cost of generation while honouring operational constraints of available generation resources. In this paper an intelligent water drop (IWD) algorithm has been proposed to solve ELD problem with an objective of minimizing the total cost of generation. Intelligent water drop algorithm is a swarm-based nature-inspired optimization algorithm, which has been inspired from natural rivers. A natural river often finds good paths among lots of possible paths in its ways from source to destination and finally find almost optimal path to their destination. These ideas are embedded into the proposed algorithm for solving economic load dispatch problem. The main advantage of the proposed technique is easy to put into practice and capable of finding feasible near global optimal solution with less computational effort. In order to illustrate the effectiveness of the proposed method, it has been tested on 6-unit system. Arithmetical results show that the proposed method has good convergence property and better in quality of solution than PSO reported in recent literature.",0,"Intelligent Water Drop and Swarm
S Biswal, T Prakash, C Bohidar, SP Singh
Related articles",{},,,,,,,,,
