Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Book,Pages,Conference
A Novel Method for Face Track Linking in Videos,"Macrina Lobo, Mayank Pratap Singh, Raghvendra Kannao, Prithwijit Guha",2014/12/14,,,,,"Face based video indexing and discovering co-occurrence patterns of faces are important components of any video analytics system. We propose a ""self-supervised"" system for identifying durations of scene presence of people by tracking their faces and linking the resulting face tracks. Multiple faces detected using the Viola-Jones detector are tracked across the frames in the TLD framework. Patches extracted from all the tracked face regions are subjected to spherical clustering to form a dictionary of representative patches. Face features are next extracted by concatenating arrays of inner products between face image patches and the dictionary elements. The features obtained from a certain face track are considered as positives (faces in same track belong to the same person) while the ones extracted from another co-occurring track are used as negatives (faces in concurrent tracks must belong to different people …",0,"A Novel Method for Face Track Linking in Videos
M Lobo, MP Singh, R Kannao, P Guha - Proceedings of the 2014 Indian Conference on …, 2014
Related articles",{},Proceedings of the 2014 Indian Conference on Computer Vision Graphics and Image Processing,1-5,
Unsupervised language learning for discovered visual concepts,"Prithwijit Guha, Amitabha Mukerjee",2013,,,,Springer Berlin Heidelberg,"Computational models of grounded language learning have been based on the premise that words and concepts are learned simultaneously. Given the mounting cognitive evidence for concept formation in infants, we argue that the availability of pre-lexical concepts (learned from image sequences) leads to considerable computational efficiency in word acquisition. Key to the process is a model of bottom-up visual attention in dynamic scenes. We have used existing work in background-foreground segmentation, multiple object tracking, object discovery and trajectory clustering to form object category and action concepts. The set of acquired concepts under visual attentive focus are then correlated with contemporaneous commentary to learn the grounded semantics of words and multi-word phrasal concatenations from the narrative. We demonstrate that even based on mere 5 minutes of video segments, a …",0,"Unsupervised language learning for discovered visual concepts
P Guha, A Mukerjee - Computer Vision–ACCV 2012: 11th Asian Conference …, 2013
Related articles All 3 versions",{},,524-537,"Computer Vision–ACCV 2012: 11th Asian Conference on Computer Vision, Daejeon, Korea, November 5-9, 2012, Revised Selected Papers, Part IV 11"
The video face book,"Nipun Pande, Mayank Jain, Dhawal Kapil, Prithwijit Guha",2012,,,,Springer Berlin Heidelberg,"Videos are often characterized by the human participants, who in turn, are identified by their faces. We present a completely unsupervised system to index videos through faces. A multiple face detector-tracker combination bound by a reasoning scheme and operational in both forward and backward directions is used to extract face tracks from individual shots of a shot segmented video. These face tracks collectively form a face log which is filtered further to remove outliers or non-face regions. The face instances from the face log are clustered using a GMM variant to capture the facial appearance modes of different people. A face Track-Cluster-Correspondence-Matrix (TCCM) is formed further to identify the equivalent face tracks. The face track equivalences are analyzed to identify the shot presences of a particular person, thereby indexing the video in terms of faces, which we call the “Video Face Book”.",6,"The video face book
N Pande, M Jain, D Kapil, P Guha - Advances in Multimedia Modeling: 18th International …, 2012
Cited by 6 Related articles All 3 versions",{},,495-506,"Advances in Multimedia Modeling: 18th International Conference, MMM 2012, Klagenfurt, Austria, January 4-6, 2012. Proceedings 18"
"Formulation, detection and application of occlusion states (oc-7) in the context of multiple object tracking","Prithwijit Guha, Amitabha Mukerjee, Venkatesh K Subramanian",2011/8/30,,,,IEEE,"Occlusion is often thought of as a challenge for visual algorithms, specially tracking. Existing literature, however, has identified a number of occlusion categories in the context of tracking in ad hoc manner. We propose a systematic approach to formulate a set of occlusion cases by considering the spatial relations among object support(s) (projections on the image plane) with the detected foreground blob(s), to show that only 7 occlusion states are possible. We designate the resulting qualitative formalism as Oc-7, and show how these occlusion states can be detected and used effectively for the task of multi-object tracking under occlusion of various types. The object support is decomposed into overlapping patches which are tracked independently on the occurrence of occlusions. As a demonstration of the application of these occlusion states, we propose a reasoning scheme for selective tracker execution and object …",22,"Formulation, detection and application of occlusion states (oc-7) in the context of multiple object tracking
P Guha, A Mukerjee, VK Subramanian - 2011 8th IEEE International Conference on Advanced …, 2011
Cited by 22 Related articles All 5 versions",{},,191-196,2011 8th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS)
OCS-14: You can get occluded in fourteen ways,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2011/6/28,,,,,"Occlusions are a central phenomenon in multiobject computer vision. However, formal analyses (LOS14, ROC20) proposed in the spatial reasoning literature ignore many distinctions crucial to computer vision, as a result of which these algebras have been largely ignored in vision applications. Two distinctions of relevance to visual computation are (a) whether the occluder is a moving object or part of the static background, and (b) whether the visible part of an object is a connected blob or fragmented. In this work, we develop a formal model of occlusion states that combines these criteria with overlap distinctions modeled in spatial reasoning to come up with a comprehensive set of fourteen occlusion states, which we define as OCS14. Transitions between these occlusion states are an important source of information on visual activity (eg splits and merges). We show that the resulting formalism is representationally complete in the sense that these states constitute a partition of all possible occlusion situations based on these criteria. Finally, we show results from implementations of this approach in a test application involving static camera based scene analysis, where occlusion state analysis and multiple object tracking can be used for two tasks–(a) identifying static occluders, and (b) modeling a class of interactions represented as transitions of occlusion states. Thus, the formalism is shown to have direct relevance to actual vision applications.",22,"OCS-14: You can get occluded in fourteen ways
P Guha, A Mukerjee, KS Venkatesh - Twenty-Second International Joint Conference on …, 2011
Cited by 22 Related articles All 5 versions",{},,,Twenty-Second International Joint Conference on Artificial Intelligence
Activity discovery using compressed suffix trees,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2011,,,,Springer Berlin Heidelberg,"The area of unsupervised activity categorization in computer vision is much less explored compared to the general practice of supervised learning of activity patterns. Recent works in the lines of activity “discovery” have proposed the use of probabilistic suffix trees (PST) and its variants which learn the activity models from temporally ordered sequences of object states. Such sequences often contain lots of object-state self-transitions resulting in a large number of PST nodes in the learned activity models. We propose an alternative method of mining these sequences by avoiding to learn the self-transitions while maintaining the useful statistical properties of the sequences thereby forming a “compressed suffix tree” (CST). We show that, on arbitrary sequences with significant self-transitions, the CST achieves a much lesser size as compared to the polynomial growth of the PST. We further propose a distance …",1,"Activity discovery using compressed suffix trees
P Guha, A Mukerjee, KS Venkatesh - Image Analysis and Processing–ICIAP 2011: 16th …, 2011
Cited by 1 Related articles All 4 versions",{'2013': 1},,69-78,"Image Analysis and Processing–ICIAP 2011: 16th International Conference, Ravenna, Italy, September 14-16, 2011, Proceedings, Part II 16"
Multiple Face Tracking with Appearance Modes and Reasoning,"Prithwijit Guha, Mayank Jain, Nipun Pande, Tavleen Oberoi",2011,,,,,"Multiple face tracking plays a key role in applications related to security-surveillance, human-computer interactions, video indexing etc. Existing literature in face tracking has mainly focused on facial features from a detection/recognition viewpoint. On the other hand, we believe that reasoning with detected/tracked face regions has a strong role in multiple face tracking. We propose a reasoning scheme that binds face localization (motion and mean-shift) and detection (Ada-Boost with Haar features) for tracking multiple faces in image sequences. The reasoning procedure identifies the cases of face isolation (unoccluded), grouping/occlusions, detection/tracking failure, entry/exit and reappearance of faces. Instantiation of these cases are used as cues in selective update of the facial features. Additionally, we maintain a Normalized Face Cluster Set (NFCS) to capture the appearance modes for varying facial poses. These cluster sets are further used in discriminating new faces from the existing ones while restoring the tracks of the later. Experimental validation on four video sequences has shown significant tracking performance under occlusions.",1,"Multiple face tracking with appearance modes and reasoning
P Guha, M Jain, N Pande, T Oberoi - Proceedings of the International Conference on Image …, 2011
Cited by 1 Related articles All 6 versions",{'2014': 1},,,IPCV 2011
OSiMa: human pose estimation from a single image,"Nipun Pande, Prithwijit Guha",2011,,,,Springer Berlin Heidelberg,Human upper body pose estimation plays a key role in applications related to human-computer interactions. We propose to develop an avatar based video conferencing system where a user’s avatar is animated following his/her gestures. Tracking gestures calls for human pose estimation through image based measurements. Our work is motivated by the pictorial structures approach and we use a 2D model as a collection of rectangular body parts. Stochastic search iterations are used to estimate the angles between these body parts through Orientation Similarity Maximization (OSiMa) along the outline of the body model. The proposed approach is validated on human upper body images with varying levels of background clutter and has shown (near) accurate pose estimation results in real time.,0,"OSiMa: human pose estimation from a single image
N Pande, P Guha - Pattern Recognition and Machine Intelligence: 4th …, 2011
Related articles All 8 versions",{},,200-205,"Pattern Recognition and Machine Intelligence: 4th International Conference, PReMI 2011, Moscow, Russia, June 27-July 1, 2011. Proceedings 4"
Stochastic re-grasp planning for vision aided capture of deforming and moving object,"T Mishra, P Guha, A Dutta, KS Venkatesh",2009/6/1,Mechatronics,19,4,Pergamon,"In the last two decades several researchers have studied the problem of grasping of a moving rigid object based on vision data. However the problem of grasping a moving and deforming object still remains unsolved. In this paper we present the development of a fast algorithm for the computation of the optimal force closure grasp points on a slowly moving and deforming object. The main focus is to find the best grasp points as the object deforms, track its position at a future instant and then transfer grasp at that location. At first the potential grasping configurations satisfying force closure are evaluated through an objective function that maximizes the grasping span while minimizing the distance between the object centroid and the intersection of the fingertip normal. A population based stochastic search strategy is adopted for computing the optimal configurations and re-localizing them as the shape undergoes …",1,"Stochastic re-grasp planning for vision aided capture of deforming and moving object
T Mishra, P Guha, A Dutta, KS Venkatesh - Mechatronics, 2009
Cited by 1 Related articles All 2 versions",{'2015': 1},,510-519,
Objects from Animacy: Joint Discovery in Shape and Haar Feature Space,"Sudipto Nandi, Prithwijit Guha, KS Venkatesh",2008/12/16,,,,IEEE,"We propose that appearance descriptors derived from the complete animacy of an object during its scene presence more comprehensively capture the essence of an object than descriptors that merely encode uncorrelated sets of its instantaneous appearances. During its frame presence, an object presents itself in many poses with differing frequencies, thus generating multiple modes of varying strengths in the appearance feature space. Further, we utilize tracking information to extract the set of all appearances of the object, while excluding those intervals where the object is partly or fully occluded by other objects or background entities. This allows for completely unsupervised computation of the descriptors that consist of time-indexed vectors from shape and Haar feature templates which are then clustered to obtain appearance modes. These lead to the construction of object-animacy models as probability …",0,"Objects from Animacy: Joint Discovery in Shape and Haar Feature Space
S Nandi, P Guha, KS Venkatesh - 2008 Sixth Indian Conference on Computer Vision …, 2008
Related articles All 4 versions",{},,730-737,"2008 Sixth Indian Conference on Computer Vision, Graphics & Image Processing"
Back to the future: Robust foreground extraction with reversed-time background modeling,"Akhilesh K Sinha, Prithwijit Guha, Amitabha Mukerjee",2008/12/8,,,,IEEE,"ldquoGhostsrdquo arise in traditional background subtraction when an object starts to move, causing the exposed background to be labelled as a ghost foreground. With background model updates, the ghost may disappear after some time, but removing ghosts immediately is crucial for identifying starts, and also for improving downstream tasks like tracking, object recognition and activity analysis. Here we propose a lagged background subtraction process, where the background model is computed in reverse after a lag of k frames, resulting in a ldquoreversed-timerdquo background model. We present an algorithm that handles disparities between the forward and backward foreground blobs, and show how ghosts can be reliably eliminated, potentially permitting single-frame latency in reliably detecting starts and identifying stops. We present theoretical results that the bidirectional model results in lower false …",1,"Back to the future: Robust foreground extraction with reversed-time background modeling
AK Sinha, P Guha, A Mukerjee - 2008 19th International Conference on Pattern …, 2008
Cited by 1 Related articles All 4 versions",{'2013': 1},,1-4,2008 19th International Conference on Pattern Recognition
Occlusion Sequence Mining for Activity Discovery from Surveillance Videos,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2008,,,,IGI Global,"Complex multiobject interactions result in occlusion sequences, which are a visual signature for the event. In this work, multiobject interactions are tracked using a set of qualitative occlusion primitives derived on the basis of the persistence hypothesis: objects continue to exist even when hidden from view. Variable length temporal sequences of occlusion primitives are shown to be well correlated with many classes of semantically significant events. In surveillance applications, determining occlusion primitives is based on foreground blob tracking and requires no prior knowledge of the domain or camera calibration. New foreground blobs are identified as putative objects that may undergo occlusions, split into multiple objects, merge back again, and so forth. Significant activities are identified through temporal sequence mining; these bear high correlation with semantic categories (eg, disembarking from a vehicle …",1,"Occlusion Sequence Mining for Activity Discovery from Surveillance Videos
P Guha, A Mukerjee, KS Venkatesh - Pattern Recognition Technologies and Applications …, 2008
Cited by 1 Related articles All 2 versions",{'2013': 1},Pattern Recognition Technologies and Applications: Recent Advances,212-226,
feature correspondences. The object features are se,"Pabboju Sateesh Kumar, Prithwijit Guha, Amitabha Mukerjee",2007,"Proceedings of the Sixth International Conference on Advances in Pattern Recognition: Indian Statistical Institute, Kolkata, India, 2-4 January 2007",,,World Scientific Publishing Company Incorporated,"Some salient strengths of the proposed scheme are the following. First, the ability to identify occlu-sion states and using the same in selective feature updates. Second, the inherent ability of recognizing failure situations and automatic track restorations and finally, a relatively unconstrained approach that does not assume any priors on object shape, motion models and ground plane. Figure 1 shows the performance improvement achieved by the hybrid colour-feature based tracking algorithm as compared to a colour only tracker.",0,"feature correspondences. The object features are se
PS Kumar, P Guha, A Mukerjee - Proceedings of the Sixth International Conference on …, 2007
Related articles",{},,152,
Baby’s day out: attentive vision for language acquisition from pre-linguistic concepts,"Amitabha Mukerjee, Prithwijit Guha",2007,Proceedings on 4th Workshop on Attention in Cognitive System,,,,"Computational models of grounded language learning have been based on the premise that words and concepts are learned simultaneously. Given the mounting cognitive evidence for concept formation in infants, we argue that availability of pre-lexical concepts (learned from image sequences) leads to considerable computational efficiency in word acquisition. Key to the process is a model of bottom-up visual attention in dynamic scenes. Background learning and foreground segmentation is used to generate robust tracking and detect occlusion events. Trajectories are clustered to obtain motion event concepts, and object concepts (image schemas) are abstracted from the combined appearance and motion data. The set of acquired concepts under visual attentive focus are then correlated with contemporaneous commentary to learn the grounded semantics of words and multi-word phrasal concatenations from the narrative. We demonstrate that even based on a mere half hour of video (of a scene involving many occlusions), a number of rudimentary concepts can be discovered. When these concepts are associated with unedited English commentary, we find that several words emerge-approximately half the identified concepts from half an hour of video are associated with the correct concepts. Thus, the computational model reflects the beginning of language comprehension, based on attentional parsing of the visual data. Finally, the emergence of multi-word phrasal concatenations, a precursor to syntax, is observed where they are more salient referents than single words.",3,"Baby’s day out: attentive vision for language acquisition from pre-linguistic concepts
A Mukerjee, P Guha - Proceedings on 4th Workshop on Attention in Cognitive …, 2007
Cited by 3 Related articles All 4 versions",{},,,
Colour and Feature Based Multiple Object Tracking Under Heavy Occlusions,"Pabboju Sateesh Kumar, Prithwijit Guha, Amitabha Mukerjee",2007,,,,,Tracking multiple objects in surveillance scenarios involves considerable difficulty because of occlusions. We report a composite tracker - based on feature tracking and colour based tracking - that demonstrates superior performance under high degrees of occlusion. Disjoint foreground blobs are extracted by using change masks obtained by combining an online-updated background model and flow information. The state of occlusion/isolation is identified by associating foreground blobs with object regions predicted using motion initialized mean-shift tracker (colour cue). The feature tracker is invoked in occluded situations to localize these with higher accuracy. We present results from dense traffic data with 5-15 objects in the scene at any instant. Overall tracking accuracy improves to 94.7% from 85.3% achieved by the colour only tracker.,9,"Colour and Feature Based Multiple Object Tracking Under Heavy Occlusions
P Sateesh Kumar, P Guha, A Mukerjee - Advances In Pattern Recognition, 2007
Cited by 9 Related articles All 2 versions",{},Advances In Pattern Recognition,152-156,
Language label learning for visual concepts discovered from video sequences,"Prithwijit Guha, Amitabha Mukerjee",2007,,,,Springer Berlin Heidelberg,"Computational models of grounded language learning have been based on the premise that words and concepts are learned simultaneously. Given the mounting cognitive evidence for concept formation in infants, we argue that the availability of pre-lexical concepts (learned from image sequences) leads to considerable computational efficiency in word acquisition. Key to the process is a model of bottom-up visual attention in dynamic scenes. Background learning and foreground segmentation is used to generate robust tracking and detect occlusion events. Trajectories are clustered to obtain motion event concepts. The object concepts (image schemas) are abstracted from the combined appearance and motion data. The set of acquired concepts under visual attentive focus are then correlated with contemporaneous commentary to learn the grounded semantics of words and multi-word phrasal …",6,"Language label learning for visual concepts discovered from video sequences
P Guha, A Mukerjee - Attention in Cognitive Systems. Theories and Systems …, 2007
Cited by 6 Related articles All 12 versions","{'2009': 2, '2010': 2, '2011': 2}",,91-105,"Attention in Cognitive Systems. Theories and Systems from an Interdisciplinary Viewpoint: 4th International Workshop on Attention in Cognitive Systems, WAPCV 2007 Hyderabad, India, January 8, 2007 Revised Selected Papers 4"
Path planning for a statically stable biped robot using PRM and reinforcement learning,"Prasad Kulkarni, Dip Goswami, Prithwijit Guha, Ashish Dutta",2006/11,Journal of Intelligent and Robotic Systems,47,,Kluwer Academic Publishers,"In this paper path planning and obstacle avoidance for a statically stable biped robot using PRM and reinforcement learning is discussed. The main objective of the paper is to compare these two methods of path planning for applications involving a biped robot. The statically stable biped robot under consideration is a 4-degree of freedom walking robot that can follow any given trajectory on flat ground and has a fixed step length of 200 mm. It is proved that the path generated by the first method produces the shortest smooth path but it also increases the computational burden on the controller, as the robot has to turn at almost all steps. However the second method produces paths that are composed of straight-line segments and hence requires less computation for trajectory following. Experiments were also conducted to prove the effectiveness of the reinforcement learning based path planning method.",16,"Path planning for a statically stable biped robot using PRM and reinforcement learning
P Kulkarni, D Goswami, P Guha, A Dutta - Journal of Intelligent and Robotic Systems, 2006
Cited by 16 Related articles All 13 versions",{},,197-214,
Activity discovery from surveillance videos,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh, Pabitra Mitra",2006/8/20,,1,,IEEE,"Multi-agent interactions often result in mutual occlusion sequences which constitute a visual signature for the event. We define six qualitative occlusion primitives based on the persistence hypothesis (objects continue to exist even when hidden from view): isolated, occlude with foreground, occlude by background, disappear, enter and exit. Variable length temporal sequences of occlusion primitives are shown to be useful features for categorizing many classes of semantically significant events. Occlusion primitive labels depend on agent positions in the image, which are determined by combining foreground blob tracking and image motion. No prior knowledge of domain or camera calibration is necessary. New foreground blobs are identified as putative agents which may undergo occlusions, split into multiple agents, merge back again, etc. Transition sequences are mined to identify semantic categories (e.g …",4,"Activity discovery from surveillance videos
P Guha, A Mukerjee, KS Venkatesh, P Mitra - 18th International Conference on Pattern Recognition …, 2006
Cited by 4 Related articles All 6 versions",{},,433-436,18th International Conference on Pattern Recognition (ICPR'06)
Efficient continuous re-grasp planning for moving and deforming planar objects,"Tripuresh Mishra, Prithwijit Guha, Ashish Dutta, KS Venkatesh",2006/5/15,,,,IEEE,"A novel approach to real-time tracking of three-finger planar grasp points for deforming objects is proposed. The search space of possible grasping configurations is reduced in two stages - firstly, by fixing one finger at the boundary point nearest to the object centroid and secondly, through a heuristic partitioning of the object boundary where the remaining two fingers are localized. The potential grasping configurations satisfying force closure conditions are evaluated through an objective function that maximizes the grasping span while minimizing the distance between the object centroid and the intersection of the contour normals at the finger contact points. A population based stochastic search strategy is adopted for computing the optimal grasping configurations and re-localizing them as the shape undergoes drastic translations, rotations, scaling and local deformations. Experimental results of grasp point tracking …",5,"Efficient continuous re-grasp planning for moving and deforming planar objects
T Mishra, P Guha, A Dutta, KS Venkatesh - Proceedings 2006 IEEE International Conference on …, 2006
Cited by 5 Related articles All 3 versions",{},,2472-2477,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006."
Occlusion sequence mining for complex multi-agent activity discovery,"Prithwijit Guha, Arindam Biswas, Amitabha Mukerjee, KS Venkatesh",2006/5,The Sixth IEEE International Workshop on Visual Surveillance,,,,"Complex multi-agent interactions result in occlusion sequences which are a visual signature for the event. In this work, multi-agent interactions are tracked using a set of qualitative occlusion primitives derived on the basis of the Persistence Hypothesis-objects continue to exist even when hidden from view. Variable length temporal sequences of occlusion primitives are shown to be well-correlated with many classes of semantically significant events. In surveillance applications, determining occlusion primitives is based on foreground blob tracking, and requires no prior knowledge of the domain or camera calibration. New foreground blobs are identified as putative agents which may undergo occlusions, split into multiple agents, merge back again, etc. Significant activities are identified through temporal sequence mining, and these bear high correlation with semantic categories (eg disembarking from a vehicle involves a series of splits). Thus semantically significant event categories can be recognized without assuming camera calibration or any environment/agent/action model priors.",7,"Occlusion sequence mining for complex multi-agent activity discovery
P Guha, A Biswas, A Mukerjee, KS Venkatesh - The Sixth IEEE International Workshop on Visual …, 2006
Cited by 7 Related articles All 6 versions",{},,,
Spatio-temporal discovery: Appearance+ behavior= agent,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2006,,,,Springer Berlin Heidelberg,"Experiments in infant category formation indicate a strong role for temporal continuity and change in perceptual categorization. Computational approaches to model discovery in vision have traditionally focused on static images, with appearance features such as shape playing an important role. In this work, we consider integrating agent behaviors with shape for the purpose of agent discovery. Improved algorithms for video segmentation and tracking under occlusion enable us to construct models that characterize agents in terms of motion and interaction with other objects. We present a preliminary approach for discovering agents based on a combination of appearance and motion histories. Using uncalibrated camera images, we characterize objects discovered in the scene by their shape and motion attributes, and cluster these using agglomerative hierarchical clustering. Even with very simple feature …",2,"Spatio-temporal discovery: Appearance+ behavior= agent
P Guha, A Mukerjee, KS Venkatesh - Computer Vision, Graphics and Image Processing: 5th …, 2006
Cited by 2 Related articles All 11 versions",{},,516-527,"Computer Vision, Graphics and Image Processing: 5th Indian Conference, ICVGIP 2006, Madurai, India, December 13-16, 2006. Proceedings"
Surveillance video mining,"Prithwijit Guha, Arindam Biswas, Amitabha Mukerjee, P Sateesh, KS Venkatesh",2006/1/1,,,,IET Digital Library,"This paper approaches the problem of surveillance event characterization at two levels. First, the information characterizable at the single camera image-plane level, where we use a set of occlusion primitives to define a set of time-varying predicates on heterogeneous objects moving in unknown environments. After learning the scene background online, tracking data generates overlapping agent trajectories. Agent appearance and trajectories are clustered to discover both agent and object categories. Second, the information characterizable at the 3D scene ground-plane level, where scene priors (such as object names) and camera calibration information is used to index and retrieve the event characterizations. The proposed approach does not assume any shape or other priors, and names are assigned a posteriori. Results are presented from a traffic video which can answer queries such as which motorcycles …",5,"Surveillance video mining
P Guha, A Biswas, A Mukerjee, P Sateesh… - 2006
Cited by 5 Related articles All 6 versions",{},,447-453,
Appearance based multiple agent tracking under complex occlusions,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2006,,,,Springer Berlin Heidelberg,"Agents entering the field of view can undergo two different forms of occlusions, either caused by crowding or due to obstructions by background objects at finite distances from the camera. This work aims at identifying the nature of occlusions encountered in multi-agent tracking by using a set of qualitative primitives derived on the basis of the Persistence Hypothesis – objects continue to exist even when hidden from view. We construct predicates describing a comprehensive set of possible occlusion primitives including entry/exit, partial or complete occlusions by background objects, crowding and algorithm failures resulting from track loss. Instantiation of these primitives followed by selective agent feature updates enables us to develop an effective scheme for tracking multiple agents in relatively unconstrained environments. The agents are primarily detected as foreground blobs and are characterized by …",10,"Appearance based multiple agent tracking under complex occlusions
P Guha, A Mukerjee, KS Venkatesh - PRICAI 2006: Trends in Artificial Intelligence: 9th …, 2006
Cited by 10 Related articles All 8 versions",{},,593-602,"PRICAI 2006: Trends in Artificial Intelligence: 9th Pacific Rim International Conference on Artificial Intelligence Guilin, China, August 7-11, 2006 Proceedings 9"
A multiscale co-linearity statistic based approach to robust background modeling,"Prithwijit Guha, Dibyendu Palai, KS Venkatesh, Amitabha Mukerjee",2006,,,,Springer Berlin Heidelberg,"Background subtraction is an essential task in several static camera based computer vision systems. Background modeling is often challenged by spatio-temporal changes occurring due to local motion and/or variations in illumination conditions. The background model is learned from an image sequence in a number of stages, viz. preprocessing, pixel/region feature extraction and statistical modeling of feature distribution. A number of algorithms, mainly focusing on feature extraction and statistical modeling have been proposed to handle the problems and comparatively little exploration has occurred at the preprocessing stage. Motivated by the fact that disturbances caused by local motions disappear at lower resolutions, we propose to represent the images at multiple scales in the preprocessing stage to learn a pyramid of background models at different resolutions. During operation, foreground pixels are …",12,"A multiscale co-linearity statistic based approach to robust background modeling
P Guha, D Palai, KS Venkatesh, A Mukerjee - Computer Vision–ACCV 2006: 7th Asian Conference …, 2006
Cited by 12 Related articles All 8 versions",{},,297-306,"Computer Vision–ACCV 2006: 7th Asian Conference on Computer Vision, Hyderabad, India, January 13-16, 2006. Proceedings, Part I 7"
Intrusion detection and tracking with pan-tilt cameras,"Arindam Biswas, Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2006/1/1,,,,IET Digital Library,"The use of autonomous pan-tilt cameras as opposed to static cameras can dramatically enhance the range and effectiveness of surveillance systems, but effective tracking in such pan-tilt scenarios remains a challenge. Existing approaches for constructing mosaiced background models require accurate camera motion parameters, and online updates for the background model in the presence of scene activity, as well as real-time tracking of targets in the presence of partial occlusions have not been solved. In this paper we propose a model that requires no camera motion parameters, the background is learned online, and the solution is integrated with target tracking. Camera egomotion is estimated as the dominant cluster mean for a mixture of Gaussians learned over point correlations between consecutive frames. Putative target regions are detected as changes over the learned background model GMM mosaic. In …",22,"Intrusion detection and tracking with pan-tilt cameras
A Biswas, P Guha, A Mukerjee, KS Venkatesh - 2006
Cited by 21 Related articles All 3 versions
Detecting and Tracking Intruders using a Pan-Tilt Surveillance System*
A Biswas, A Mukerjee, P Guha, KS Venkatesh - Proc. of International Conf. Visual Irrformation …, 2006
Cited by 1 Related articles All 7 versions",{},,565-571,
Efficient occlusion handling for multiple agent tracking by reasoning with surveillance event primitives,"Prithwijit Guha, Amitabha Mukerjee, KS Venkatesh",2005/10/15,,,,IEEE,"Tracking multiple agents in a monocular visual surveillance system is often challenged by the phenomenon of occlusions. Agents entering the field of view can undergo two different forms of occlusions, either caused by crowding or due to obstructions by background objects at finite distances from the camera. The agents are primarily detected as foreground blobs and are characterized by their motion history and weighted color histograms. These features are further used for localizing them in subsequent frames through motion prediction assisted mean shift tracking. A number of Boolean predicates are evaluated based on the fractional overlaps between the localized regions and foreground blobs. We construct predicates describing a comprehensive set of possible surveillance event primitives including entry/exit, partial or complete occlusions by background objects, crowding, splitting of agents and algorithm …",34,"Efficient occlusion handling for multiple agent tracking by reasoning with surveillance event primitives
P Guha, A Mukerjee, KS Venkatesh - 2005 IEEE International Workshop on Visual …, 2005
Cited by 34 Related articles All 8 versions",{},,49-56,2005 IEEE International Workshop on Visual Surveillance and Performance Evaluation of Tracking and Surveillance
DynaTracker: Target tracking in active video surveillance systems,"Prithwijit Guha, Dibyendu Palai, Dip Goswami, Amitabha Mukerjee",2005/7/18,,,,IEEE,"Active video surveillance systems provide challenging research issues in the interface of computer vision, pattern recognition and control system analysis. A significant part of such systems is devoted toward active camera control for efficient target tracking. DynaTracker is a pan-tilt device based active camera system for maintaining continuous track of the moving target, while keeping the same at a pre-specified region (typically, the center) of the image. The significant contributions in this work are the use of mean-shift algorithm for visual tracking and the derivation of the error dynamics for a proportional-integral control action. The stability analysis and optimal controller gain selections are performed from the simulation studies of the derived error dynamics. Simulation predictions are also validated from the results of practical experimentations. The present implementation of DynaTracker performs on a standard …",16,"DynaTracker: Target tracking in active video surveillance systems
P Guha, D Palai, D Goswami, A Mukerjee - ICAR'05. Proceedings., 12th International Conference …, 2005
Cited by 16 Related articles All 5 versions",{},,621-627,"ICAR'05. Proceedings., 12th International Conference on Advanced Robotics, 2005."
Hybrid hierarchical learning from dynamic scenes,"Prithwijit Guha, Pradeep Vaghela, Pabitra Mitra, KS Venkatesh, Amitabha Mukerjee",2005,,,,Springer Berlin Heidelberg,"The work proposes a hierarchical architecture for learning from dynamic scenes at various levels of knowledge abstraction. The raw visual information is processed at different stages to generate hybrid symbolic/sub-symbolic descriptions of the scene, agents and events. The background is incrementally learned at the lowest layer, which is used further in the mid-level for multi-agent tracking with symbolic reasoning. The agent/event discovery is performed at the next higher layer by processing the agent features, status history and trajectory. Unlike existing vision systems, the proposed algorithm does not assume any prior information and aims at learning the scene/agent/event models from the acquired images. This makes it a versatile vision system capable of performing in a wide variety of environments.",0,"Hybrid hierarchical learning from dynamic scenes
P Guha, P Vaghela, P Mitra, KS Venkatesh, A Mukerjee - Pattern Recognition and Machine Intelligence: First …, 2005
Related articles All 13 versions",{},,212-217,"Pattern Recognition and Machine Intelligence: First International Conference, PReMI 2005, Kolkata, India, December 20-22, 2005. Proceedings 1"
Handling Occlusions in Monocular Surveillance Systems.,"Prithwijit Guha, Nisarg Vyas, Amitabha Mukerjee, KS Venkatesh",2004/12,,,,,,0,"Handling Occlusions in Monocular Surveillance Systems.
P Guha, N Vyas, A Mukerjee, KS Venkatesh - ICVGIP, 2004",{},,52-57,ICVGIP
