Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Dynamic data assimilation: a least squares approach,"John M Lewis, Sivaramakrishnan Lakshmivarahan, Sudarshan Dhall",2006/8/3,,13,,Cambridge University Press,"Dynamic data assimilation is the assessment, combination and synthesis of observational data, scientific laws and mathematical models to determine the state of a complex physical system, for instance as a preliminary step in making predictions about the system's behaviour. The topic has assumed increasing importance in fields such as numerical weather prediction where conscientious efforts are being made to extend the term of reliable weather forecasts beyond the few days that are presently feasible. This book is designed to be a basic one-stop reference for graduate students and researchers. It is based on graduate courses taught over a decade to mathematicians, scientists, and engineers, and its modular structure accommodates the various audience requirements. Thus Part I is a broad introduction to the history, development and philosophy of data assimilation, illustrated by examples; Part II considers the classical, static approaches, both linear and nonlinear; and Part III describes computational techniques. Parts IV to VII are concerned with how statistical and dynamic ideas can be incorporated into the classical framework. Key themes covered here include estimation theory, stochastic and dynamic models, and sequential filtering. The final part addresses the predictability of dynamical systems. Chapters end with a section that provides pointers to the literature, and a set of exercises with instructive hints.",494,"Dynamic data assimilation: a least squares approach
JM Lewis, S Lakshmivarahan, S Dhall - 2006
Cited by 494 Related articles","{'2008': 5, '2009': 22, '2010': 23, '2011': 25, '2012': 26, '2013': 25, '2014': 40, '2015': 40, '2016': 33, '2017': 36, '2018': 34, '2019': 47, '2020': 15, '2021': 24, '2022': 24, '2023': 32}",,,,,
Models of conditional variance for bond prices,"Naren Pappu, S Lakshmivarahan, Duane R Stock",2006/6/30,The Journal of Fixed Income,16,1,Institutional Investor Journals Umbrella,"Evidence of predictability of financial time series along with recent advances in modeling time dependent conditional variance clearly call for incorporating such theory into expressions for expected bond price changes and variance of price changes. Thus, we derive new first and second order expressions for conditional variance of price change based on these advances. Among other things, we express conditional variance of price changes as a combination of innovations in simultaneously estimated expected change in yield and conditional variance of yield change. Also, we examine how conditional variance is affected by duration, yield volatility, expected change in yield, and convexity. Portfolio managers can use the results to enhance expected performance analysis. For example, in contrast to many theoretical papers, we find that variance of price changes depends on bond convexity. Bond portfolio …",2,"Models of conditional variance for bond prices
N Pappu, S Lakshmivarahan, DR Stock - The Journal of Fixed Income, 2006
Cited by 2 Related articles All 3 versions","{'2007': 1, '2008': 1}",65-70,,,,
Dynamic Data Assimilation: A least squares approach,"Sudarshan Dhall, S.. Lakshmivarahan, John M.. Lewis",2006,,,,Cambridge University Press,,17,"Dynamic Data Assimilation: A least squares approach
S Dhall, S.. Lakshmivarahan, John M.. Lewis - 2006
Cited by 17 Related articles",{},,,,,
Explaining municipal bond volatility: Implications for practice,"S Lakshmivarahan, Duane R Stock",2006,Municipal Finance Journal,27,1,Civic Research Institute,"This article explores and analyzes reasons why volatility behavior is different for different maturities and credit qualities. It models the yield volatilities of various maturities of AAA and BBB municipal bonds based on two theories of volatility. One theory is that the higher the level of interest rates, the greater the volatility. A second, more statistically complex theory, is built on the observation that periods of high volatility are caused by significant economic"" news"" affecting interest rates. We find that asymmetric volatility effects vary by maturity and credit quality and that there is some limited ability to predict yield changes. For example, we find strong evidence of mean reversion in yields for some maturities and credit qualities.",1,"Explaining municipal bond volatility: Implications for practice
S Lakshmivarahan, DR Stock - Municipal Finance Journal, 2006
Cited by 1 Related articles",{'2008': 1},1-33,,,,
Machine learning classifiers for tornado detection: sensitivity analysis on tornado data sets,"I Adrianto, TB Trafalis, MB Richman, S Lakshmivarahan, J Park",2006,"Dagli C. Buczak, A., Enke, D., Embrechts, M., Ersoy, O.(eds.): Intelligent Engineering Systems Through Artificial Neural Networks",16,,,,4,"Machine learning classifiers for tornado detection: sensitivity analysis on tornado data sets
I Adrianto, TB Trafalis, MB Richman, S Lakshmivarahan… - Dagli C. Buczak, A., Enke, D., Embrechts, M., Ersoy, O …, 2006
Cited by 4 Related articles",{},679-684,,,,
Models of Time Varying Expected Price Change and Variance for US Treasury Bonds,"Naren Pappu, S Lakshmivarahan, Duane R Stock",2005/11/1,,,,,"Many studies have addressed the distribution of equity returns and price changes but relatively few have addressed the distribution of bond price changes. Evidence of predictability of financial time series along with recent advances in modeling time dependent conditional variance clearly call for incorporating such theory into expressions for expected bond price changes and variance of price changes. Thus, we derive new expressions for expected price change and variance of price change. Among other things, we find that variance of price changes can be expressed as a combination of innovations in simultaneously estimated expected change in yield and conditional variance of yield change. We test five alternative econometric models of yield changes where the dependence of yield changes upon both the level of interest rates and GARCH type variance processes are critical. Furthermore, we provide analysis …",0,"Models of Time Varying Expected Price Change and Variance for US Treasury Bonds
N Pappu, S Lakshmivarahan, DR Stock - 2005
Related articles",{},,,,,
Development of an automated classification procedure for rainfall systems,"Michael E Baldwin, John S Kain, S Lakshmivarahan",2005/4/1,Monthly weather review,133,4,American Meteorological Society,"Johnson, RH, and PJ Hamilton, 1988: The relationship of surface pressure features to the precipitation and airflow structure of an intense midlatitude squall line. Mon. Wea. Rev., 116, 1444–1473.",69,"Development of an automated classification procedure for rainfall systems
ME Baldwin, JS Kain, S Lakshmivarahan - Monthly weather review, 2005
Cited by 69 Related articles All 11 versions","{'2007': 2, '2008': 3, '2009': 3, '2010': 5, '2011': 6, '2012': 3, '2013': 2, '2014': 7, '2015': 4, '2016': 3, '2017': 3, '2018': 2, '2019': 2, '2020': 7, '2021': 5, '2022': 7}",844-862,,,,
Power-speed trade-off in parallel prefix circuits,"Sirirut Vanichayobon, Sudarshan K Dhall, Sivaramakrishnan Lakshmivarahan, John K Antonio",2005/2,"Journal of Circuits, Systems, and Computers",14,01,World Scientific Publishing Company,"Optimizing area and speed in parallel prefix circuits has been considered important for a long time. The issue of power consumption in these circuits, however, has not been addressed. This paper presents a comparative study of different parallel prefix circuits from the point of view of power–speed trade-off. An effective circuit capacitance model that is verified through PSpice simulations is used to investigate the power consumption in parallel prefix circuits. The model results in an analytical function for power consumption for each prefix circuit considered. The degrees of freedom studied include different parallel prefix circuits and voltage scaling. The results of the study were applied to evaluate power–speed trade-offs when different prefix circuits are used in Brent's parallel adder.5",1,"Power-speed trade-off in parallel prefix circuits
S Vanichayobon, SK Dhall, S Lakshmivarahan… - Journal of Circuits, Systems, and Computers, 2005
Cited by 1 Related articles All 3 versions",{'2008': 1},65-98,,,,
Classification of Tornadoes Using Linear Discriminant Analysis,"Bharat Thanneru, Michael B Richman, S Lakshmivarahan",2005,,,,,"The tornado detection has been one of the most critical problems which the meteorologists have been working on for many years. The main objective of this research is to distinguish between tornadoes and mesocyclones using the technique of linear discriminant analysis. The complete analysis is described which achieves larger Heidke's Skill for lower percentages of tornadoes compared to all the other known methods.
1. Introduction: A tornado is a violently rotating column of air, in contact with the ground, either pendant from a cumuliform cloud or underneath a cumuliform cloud, and often (but not always) visible as a funnel cloud. The main objective of this paper is to distinguish between those mesocyclones that become tornadoes and those which do not based on a given set of attributes. These attributes are the output of Mesocyclone Detection Algorithm (MDA) which serves as a basis for the detection of tornadoes. The data which are used in this research is collected from Weather Surveillance Radar-1988 Doppler (WSR-88D). The data set consists of 46 attributes. The subset of these attributes (23) was used by Kakani (2004) for the prediction of tornadoes using Empirical Orthogonal Functions. Nestlerode (2003) used Principal Component Analysis (PCA) for the same 23 attributes to reduce the redundancy of MDA by projecting these correlated attributes on to a number of uncorrelated dimensions. In the complete data",0,"Classification of Tornadoes Using Linear Discriminant Analysis
B Thanneru, MB Richman, S Lakshmivarahan - 2005
Related articles",{},,,,,University of Oklahoma
Cluster analysis of multimodel ensemble data over New England,"Nusrat Yussouf, David J Stensrud, S Lakshmivarahan",2004/10/1,Monthly weather review,132,10,American Meteorological Society,"Stensrud, DJ, JW. Bao, and TT Warner, 2000: Using initial condition and model physics perturbations in short-range ensemble simulations of mesoscale convective systems. Mon. Wea. Rev, 128, 2077–2107.",29,"Cluster analysis of multimodel ensemble data over New England
N Yussouf, DJ Stensrud, S Lakshmivarahan - Monthly weather review, 2004
Cited by 29 Related articles All 10 versions","{'2008': 1, '2009': 2, '2010': 4, '2011': 2, '2012': 1, '2013': 2, '2014': 1, '2015': 2, '2016': 2, '2017': 1, '2018': 2, '2019': 1, '2020': 3, '2021': 2, '2022': 1, '2023': 1}",2452-2462,,,,
MUNICIPAL BOND VOLATILITY DEPENDENT UPON MATURITY AND CREDIT QUALITY,"S Lakshmivarahan, Duane R Stock, Yin-Kei Lai Qureshi",2004/3/1,,,,,This research is the first to focus on the conditional volatility of municipal bonds for various maturities and credit qualities. There are theoretical reasons to suspect that volatility behavior may be different for different maturities and credit qualities. The yield volatilities of various maturities of AAA and BBB municipal bonds are modeled with volatility dependent upon different basic theories of volatility. These theories are the pure,0,"MUNICIPAL BOND VOLATILITY DEPENDENT UPON MATURITY AND CREDIT QUALITY
S Lakshmivarahan, DR Stock, YKL Qureshi - 2004
Related articles",{},,,,,
Mining nexrad radar data: An investigative study,"Xiang Li, Rahul Ramachandran, John Rushing, Sara Graves, Kevin Kelleher, S Lakshmivarahan, Douglas Kennedy, Jason Levit",2004/1/14,American Meteorology Society annual meeting,,,,"A collaborative team of meteorologists and data mining experts conducted a case study to detect and classify mesocyclone signatures in WSR-88D radar data using mining techniques. Radar data for May 6th, 1994 and May 11th, 1992 from Norman and Tulsa, Oklahoma was used in this case study. Two Mesocyclone Detection Algorithms (MDA) were used in this study. One (NSSL MDA) is a computationally optimized version of the National Severe Storm Laboratory (NSSL) MDA. The second (UAH MDA) was created based upon the original NSSL algorithm, but with some image processing techniques. The primary difference between the two algorithms is in the technique used to segment the two dimensional (2D) mesocyclone signatures. The UAH MDA uses a region growing technique; hence the shape of the feature is no longer a restriction. True or false labels were assigned to the mesocyclone features generated from the MDA by comparing with a truth set derived by an expert using the NSSL algorithm. This labeled feature data set was then used in a series of analysis experiments. The objective of these experiments was to: Evaluate the performance of different classifiers in their ability to distinguish between a true mesocyclone signature versus an artifact or noise; Optimize the classification results by selecting key parameters from the feature data set using different feature reduction techniques; Explore the patterns in the feature data set using various clustering algorithms; and determine the suitability of the algorithm as a data mining tool.",7,"Mining nexrad radar data: An investigative study
X Li, R Ramachandran, J Rushing, S Graves… - American Meteorology Society annual meeting, 2004
Cited by 7 Related articles All 5 versions",{},,,,,
Tornado detection algorithm using empirical orthogonal functions,"PRASHANT Kakani, S Lakshmivarahan, M Richman",2004,,14,,ASME Press,A new class of discriminant function based on the empirical orthogonal functions (EOF) which achieves over 95% probability of detection is described. A comparison of this method with other existing methods is also provided.,2,"Tornado detection algorithm using empirical orthogonal functions
P Kakani, S Lakshmivarahan, M Richman - 2004
Cited by 2 Related articles","{'2005': 1, '2006': 1}",125-130,,,Intelligent Engineering Systems Through Artificial Neural Networks,
"Second-order approximation to the 3DVAR cost function: application to analysis/forecast: Tellus55A, 371384","S Lakshmivarahan, Y Honda, JM Lewis",2004/1/1,Tellus A: Dynamic Meteorology and Oceanography,56,2,Taylor & Francis,"We have noticed several errors in our paper, which was published in 2003. 1. Section 4, The second-order method: In the sixth line J: Rn−→ R, the R’s should be bold capitalized 2. Section 5: Special Case: first-order method In equation (5.4), the expression [B− 1+ DT h (xc) R− 1 DT h (xc)] in the third line of (5.4) should be changed to [DT h (xc) R− 1 Dh (xc)]",0,"Second-order approximation to the 3DVAR cost function: application to analysis/forecast: Tellus55A, 371384
S Lakshmivarahan, Y Honda, JM Lewis - Tellus A: Dynamic Meteorology and Oceanography, 2004
All 4 versions",{},175-175,,,,
"A Parallel, 3D Baroclinic Shallow Water Model","RL Kolar, J Antonio, S Dhall, S Lakshmivarahan",2003/9/30,,,,OKLAHOMA UNIV NORMAN,"The long-term goal of this research is to develop an efficient, robust hydrodynamic model that is capable of three-dimensional 3D, prognostic baroclinic simulations on a parallel computing platform. Our approach is to modify an existing model ADCIRC ADvanced 3D CIRCulation model 1, which is the product of over 20 years of research and development by scientists and engineers at six different institutions. Among other military and civilian applications, ADCIRC is currently one of a suite of models used by the Office of Naval Research s ONR Naval Research Lab NRL at Stennis Space Center, MS, to help plan Naval fleet operations in ocean basins around the world. The improved ADCIRC model would further enhance NRL s ability to provide accurate, timely nowcastsforecasts, particularly in thermohaline driven basins, like the Persian Gulf.
Descriptors:",0,"A Parallel, 3D Baroclinic Shallow Water Model
RL Kolar, J Antonio, S Dhall, S Lakshmivarahan - 2003
Related articles",{},,,,,
Cluster analysis of multi-model multi-analysis ensemble experiments,"K Mylne, S Lakshmivarahan, N Siddique",2003/4,EGS-AGU-EUG Joint Assembly,,,,"Previous studies of multi-model multi-analysis ensembles (MMAE) have shown that they offer improved probabilistic skill compared to single-model ensemble prediction systems such as the ECMWF EPS. It was speculated that this is because the additional model (or models) explore different regions of phase space, but there was no direct evidence for this. In this work medium-range MMAE forecasts were clustered using the Ward Clustering algorithm, and the clustering examined in detail to compare the importance of ensemble perturbations and model differences in the forecast outcomes. All forecasts were bias-corrected and normalized prior to clustering to ensure that observed differences were real differences in forecast evolution, and not simply due to different model biases. In the early stages of the forecasts, around the first 72 hours, it was found that the initial condition perturbations were often important and …",0,"Cluster analysis of multi-model multi-analysis ensemble experiments
K Mylne, S Lakshmivarahan, N Siddique - EGS-AGU-EUG Joint Assembly, 2003",{},1767,,,,
Second-order approximation to the 3dvar cost function: application to analysis/forecast,"S Lakshmivarahan, Yuki Honda, JM Lewis",2003/1/1,Tellus A: Dynamic Meteorology and Oceanography,55,5,Taylor & Francis,"The analysis/forecast cycling scheme used in operational weather prediction centers involves repeated application of a 3DVAR assimilation phase followed by a forecast phase. In this paper we first derive a closed-form expression for the complete Hessian of the 3DVAR objective function. This facilitates the use of Newton-like algorithms in the 3DVAR assimilation phase. It is also shown that this algorithm includes the standard first-order method as a special case. Notwithstanding the method used in this optimization phase, if the iterative optimization is terminated prematurely before convergence (generally for the sake of economy), the resulting analysis incurs an error that will corrupt the initial condition of the model and thereby affect the forecast. Using Lorenz’s maximum simplification form of the barotropic vorticity equation, we examine the assimilation error and its dependency on the following factors …",8,"Second-order approximation to the 3dvar cost function: application to analysis/forecast
S Lakshmivarahan, Y Honda, JM Lewis - Tellus A: Dynamic Meteorology and Oceanography, 2003
Cited by 8 Related articles All 11 versions",{},371-384,,,,
Rainfall classification using histogram analysis: An example of data mining in meteorology,"MICHAEL E Baldwin, S Lakshmivarahan",2002/11,Intelligent Engineering Systems Through Artificial Neural Networks,12,,,"The purpose of this work is to develop a robust automated classification technique to find significant and interesting features within spatial fields of meteorological data, for eventual use in a weather-related decision support system. To begin this analysis process, rainfall events are classified by analyzing the similarity of bulk statistical measures representing the distribution of rainfall values across a region of fixed size. The gamma distribution was selected to fit the observed distribution of rainfall since it is well suited for rainfall data. Due to the spatially correlated nature of rainfall, a robust method of parameter estimation of the distribution is required, therefore the generalized method of moments estimation technique was selected. Hierarchical cluster analysis is then performed using the parameters of the gamma distribution as attributes to classify the objects in the target data set, and those results are compared to a subjective classification of the rainfall patterns. The results show that this system successfully classified the cases in the target data set into convective and non-convective events with over 90% accuracy. However, further refinement of the classification was less successful and leaves room for future improvement. Keywords: data mining applications, parameter estimation",16,"Rainfall classification using histogram analysis: An example of data mining in meteorology
ME Baldwin, S Lakshmivarahan - Intelligent Engineering Systems Through Artificial …, 2002
Cited by 16 Related articles",{},429-434,,,,
"Development of an"" events-oriented"" approach to forecast verification","Michael E Baldwin, S Lakshmivarahan, John S Kain, JS Kain",2002/8/12,CONFERENCE ON WEATHER ANALYSIS AND FORECASTING,19,,AMS,"The goal for this work is to develop new forecast verification techniques that provide useful information on the accuracy of spatial fields containing high-amplitude, small-scale features or"" objects"", such as a thunderstorm cluster which might be observed by radar or predicted by a state-of-the-art numerical weather prediction (NWP) model. Traditionally,"" objective"" forecast verification is performed by an automated system which compares values of forecast and observed variables valid at the same set of points in both time and space. The forecast values are compared to the observed values, and various statistics are computed to measure the accuracy of the forecast field. For meteorological fields that contain high-amplitude, small-scale features, small forecast errors in phase, displacement, or time lag can produce very large differences between forecast and observed scalar variables at specific locations. Traditional approaches to verification may actually represent a forecast system that never predicts small-scale, highamplitude features as more accurate than one that predicts realistic features (Baldwin et al. 2001). For example, it is possible for a thunderstorm to produce 50mm of rain at one location, while 10km to the south no rain is observed. A forecast that correctly called for this highamplitude spatial variation in rainfall except with a southward displacement error of 10km would find that the mean absolute error (MAE) from these two locations would be 50mm. Another forecast that called for 10mm at both locations would have a smaller MAE of 25mm, but this forecast does not accurately represent the spatial variation found in the observed …",20,"Development of an"" events-oriented"" approach to forecast verification
ME Baldwin, S Lakshmivarahan, JS Kain, JS Kain - CONFERENCE ON WEATHER ANALYSIS AND …, 2002
Cited by 20 Related articles",{},210-213,,,,
Power-speed trade-off in parallel prefix circuits,"Sirirut Vanichayobon, Sudarshan K Dhall, S Lakshmivarahan, John K Antonio",2002/6/25,,4863,,SPIE,"Optimizing area and speed in parallel prefix circuit have been considered important for a long time. The issue of power consumption in these circuits, however, has not been addressed. The paper presents a comparative study of different parallel prefix circuits form the point of view of power-speed trade-off. The power consumption and the power-delay product of seven parallel prefix circuits were compared. A linear output capacitance assumption, combined with PSpice simulations, is used to investigate the power consumption in the parallel prefix circuits. The degrees of freedom studied include different parallel prefix algorithms and voltage scaling. The results show that the use of the linear output capacitance assumption provides results that are consistent with those obtained using PSpice simulations. The study can help identify parallel prefix algorithms with the desirable power consumption with a given throughput.",6,"Power-speed trade-off in parallel prefix circuits
S Vanichayobon, SK Dhall, S Lakshmivarahan… - Java/Jini Technologies and High-Performance …, 2002
Cited by 6 Related articles All 13 versions",{},109-120,,Java/Jini Technologies and High-Performance Pervasive Computing,,
Cluster analysis of multimodel ensemble data from SAMEX,"Ahmad Alhamed, S Lakshmivarahan, David J Stensrud",2002/2/1,Monthly weather review,130,2,American Meteorological Society,"Short-range ensemble forecasts from the Storm and Mesoscale Ensemble Experiment (SAMEX) are examined to explore the importance of model diversity in short-range ensemble forecasting systems. Two basic techniques from multivariate data analysis are used: cluster analysis and principal component analysis. This 25-member ensemble is constructed of 36-h forecasts from four different numerical weather prediction models, including the Eta Model, the Regional Spectral Model (RSM), the Advanced Regional Prediction System (ARPS), and the Pennsylvania State University–National Center for Atmospheric Research fifth-generation Mesoscale Model (MM5). The Eta Model and RSM forecasts are initialized using the breeding of growing modes approach, the ARPS model forecasts are initialized using a scaled lagged average forecasting approach, and the MM5 forecasts are initialized using a random …",81,"Cluster analysis of multimodel ensemble data from SAMEX
A Alhamed, S Lakshmivarahan, DJ Stensrud - Monthly weather review, 2002
Cited by 81 Related articles All 14 versions","{'2007': 3, '2008': 1, '2009': 1, '2010': 6, '2011': 7, '2012': 3, '2013': 9, '2014': 4, '2015': 2, '2016': 5, '2017': 3, '2018': 3, '2019': 2, '2020': 2, '2021': 6, '2022': 6}",226-256,,,,
Project CRAFT network topology and initial analysis of network loads,"Yen Soon Low, S Lakshmivarahan, Kevin Edward Kelleher",2002,,,,,,0,"Project CRAFT network topology and initial analysis of network loads
YS Low, S Lakshmivarahan, KE Kelleher - 2002",{},,,,,
PERFORMANC EVALUATION,S Lakshmivarahan,2002,Performance Evaluation,,,,• Silent revolution from behind• Thanks to technology• By mid 1990’s workstations as powerful as CRAY-I was available for a fraction of the cost–from millions to a few ten thousands• Desk top computing became a reality• Many vendors went out of business• When the dust settled access to very powerful (CRAY like) desk top became a model for computing,0,"PERFORMANC EVALUATION
S Lakshmivarahan - Performance Evaluation, 2002
Related articles All 6 versions",{},,,,,
Scalability analysis of large codes using factorial designs,"M Alabdulkareem, S Lakshmivarahan, Sudarshan K. Dhall",2001/8/1,Parallel Computing,27,9,North-Holland,"Analysis of scalability of parallel algorithm-architecture combination has been the subject of intense scrutiny for quite some time. This theoretical approach invariably requires detailed knowledge of the algorithm. Recently, Lyon and his coworkers at the National Institute of Science and Technology (NIST) developed an alternate black-box based approach to the analysis of scalability of large parallel codes. This approach is based on the time-honored principles from experimental design in statistics. Using this later approach, in this paper we analyze the scalability of a large code called Advance Regional Prediction System, which is a state-of-the-art numerical weather prediction system on CRAY J-90 and IBM SP-2. This experimental approach does not require extensive knowledge of the underlying algorithm and can be automated.",9,"Scalability analysis of large codes using factorial designs
M Alabdulkareem, S Lakshmivarahan, SK Dhall - Parallel Computing, 2001
Cited by 9 Related articles All 5 versions",{},1145-1171,,,,
Compression of NEXRAD (WSR-88D) Radar Data Using Burrows-Wheeler Algorithm,"Steven D Smith, Kevin Kelleher, S Lakshmivarahan",2001,NSSL Report,,,,"The National Weather Service (NWS), the Federal Aviation Administration (FAA), and the Department of Defense (DOD) recently completed installation of 158 WSR-88D Doppler weather radars (NEXRAD) throughout the US These radars provide high spatial and temporal resolution radar data. The Cooperative Radar Acquisition Field Test (CRAFT) project was established to begin addressing the need for real-time access of the data by an ever-growing user community. The principle goal of CRAFT is the development of a national prototype demonstrating the real-time compression, delivery, and Internet-based transmission of WSR-88D Archive Level II data from multiple radars with a view toward nationwide implementation [2].
Presently radar data are archived on-site using 8 mm tape. Once a tape is filled, it is sent to the National Climatic Data Center (NCDC) for permanent archival. The main disadvantages of this technology are the unreliability of the tape drives, the expense of maintaining the on-site equipment, and the reliance upon NWS technicians to change the tapes and mail them to NCDC. A secondary goal of CRAFT is to eliminate the need for in situ archival of radar data. In essence, radar data collection would shift from on-site to a designated off-site centralized repository, NCDC.",1,"Compression of NEXRAD (WSR-88D) Radar Data Using Burrows-Wheeler Algorithm
SD Smith, K Kelleher, S Lakshmivarahan - NSSL Report, 2001
Cited by 1 Related articles All 5 versions",{'2007': 1},,,,,
Verification of mesoscale features in NWP models. Preprints,"ME Baldwin, S Lakshmivarahan, JS Kain",2001,Ninth Conf. on Mesoscale Processes,,,,,57,"Verification of mesoscale features in NWP models. Preprints
ME Baldwin, S Lakshmivarahan, JS Kain - Ninth Conf. on Mesoscale Processes, 2001
Cited by 57 Related articles","{'2005': 1, '2006': 4, '2007': 4, '2008': 6, '2009': 1, '2010': 5, '2011': 1, '2012': 7, '2013': 4, '2014': 3, '2015': 2, '2016': 4, '2017': 2, '2018': 3, '2019': 1, '2020': 1}",255-258,,,,
Routing in a class of Cayley graphs of semidirect products of finite groups,"Fen Lin Wu, S Lakshmivarahan, Sudarshan K. Dhall",2000/5/1,Journal of Parallel and distributed computing,60,5,Academic Press,"Recently, Draper initiated the study of interconnection networks based on Cayley graphs of semidirect products of two cyclic groups called supertoroids. Interest in this class of graphs stems from their relatively smaller diameter compared to toroids of the same size. The Borel graphs introduced by Arden and Tang are a family of Cayley graphs based on a special class of matrix groups. In this paper, we describe a deterministic, distributed routing scheme for supertoroids. While we do not have a proof of correctness of our scheme, experimental evidence leads to a natural conjecture that our scheme is a shortest path routing algorithm. By proving the similarities among supertoroids, Borel graphs, and metacyclic graphs, this routing scheme is then extended to Borel graphs.",16,"Routing in a class of Cayley graphs of semidirect products of finite groups
FL Wu, S Lakshmivarahan, SK Dhall - Journal of Parallel and distributed computing, 2000
Cited by 16 Related articles All 7 versions",{},539-565,,,,
Computational science track (track introduction only),S Lakshmivarahan,2000/3/19,,,,,Computational Science lies at the core of Applied Computing. This track presents a set of six papers. The first paper describes a direct parallel method for solving non-linear Voitetra integro-differential equations with very near optimal speedup. The second paper addresses the important question of characterizing the average distance in a mesh slructure which is very important in quantifying the communication latency in intereonneetion networks. Analysis of optimal configurations to ensure reliability and performance is addressed in the third paper. The fourth paper discusses a new adaptive finite element scheme that admits one irregular element that is of potential interest in the analysis flows in porous media. A JAVA based schema for managing large scientific computational projects is the contents of the fifth paper. The last paper provides a clustering analysis of multi-model output for use in ensemble forecasting.,0,"Computational science track (track introduction only)
S Lakshmivarahan - Proceedings of the 2000 ACM symposium on Applied …, 2000
All 2 versions",{},85,Proceedings of the 2000 ACM symposium on Applied computing-Volume 1,,,
A clustering approach to multi-model ensemble analysis using SAMEX data: preliminary results,"Ahmad Alhamed, S Lakshmivarahan",2000/3/19,,,,,"Storm And Mesoscale Ensemble Experiment (SAMEX) is a multi-model numerical weather prediction experiment coordinated by the Center for Analysis and Prediction of Storms (CAPS) at the University of Oklahoma. In this paper we are interested in studying the applications of clustering methodologies to shortterm ensemble based on SAMEX data. We present our results of applying two basic techniques from multivariate data analysis namely principal component analysis and cluster analysis to one SAMEX data set. In particular we analyze the clustering tendencies in the precipitation field variables, which are the output of the SAMEX multi-model project for 25 initial conditions. The objective of this work is to analyze the trajectories from these initial conditions and see how they cluster during evolution.",2,"A clustering approach to multi-model ensemble analysis using SAMEX data: preliminary results
A Alhamed, S Lakshmivarahan - Proceedings of the 2000 ACM symposium on Applied …, 2000
Cited by 2 Related articles All 2 versions",{},111-116,Proceedings of the 2000 ACM symposium on Applied computing-Volume 1,,,
"Ring, torus and hypercube architectures/algorithms for parallel computing","S Lakshmivarahan, Sudarshan K Dhall",1999/12/1,Parallel Computing,25,13-14,North-Holland,"This paper provides a survey of both architectural and algorithmic aspects of solving problems using parallel processors with ring, torus and hypercube interconnection.",66,"Ring, torus and hypercube architectures/algorithms for parallel computing
S Lakshmivarahan, SK Dhall - Parallel Computing, 1999
Cited by 66 Related articles All 4 versions","{'2007': 1, '2008': 5, '2009': 2, '2010': 2, '2011': 4, '2012': 3, '2013': 4, '2014': 9, '2015': 9, '2016': 9, '2017': 2, '2018': 2, '2019': 2, '2020': 3, '2021': 1, '2022': 2}",1877-1906,,,,
Learning in multilevel games with incomplete information. I,"Edward Billard, S Lakshmivarahan",1999/6,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",29,3,IEEE,"A model is presented of learning automata playing stochastic games at two levels. The high level represents the choice of the game environment and corresponds to a group decision. The low level represents the choice of action within the selected game environment. Both of these decision processes are affected by delays in the information state due to inherent latencies or to the delayed broadcast of state changes. Analysis of the intrinsic properties of this Markov process is presented along with simulated iterative behavior and expected iterative behavior. The results show that simulation agrees with expected behavior for small step lengths in the iterative map. A Feigenbaum diagram and numerical computation of the Lyapunov exponents show that, for very small penalty parameters, the system exhibits chaotic behavior.",29,"Learning in multilevel games with incomplete information. I
E Billard, S Lakshmivarahan - IEEE Transactions on Systems, Man, and Cybernetics …, 1999
Cited by 29 Related articles All 8 versions",{},329-339,,,,
Learning in multilevel games with incomplete information. II,"Jing Zhou, Edward Billard, S Lakshmivarahan",1999/6,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",29,3,IEEE,"Multilevel games are abstractions of situations where decision makers are distributed in a network environment. In Part I of this paper, the authors present several of the challenging problems that arise in the analysis of multilevel games. In this paper a specific set up is considered where the two games being played are zero-sum games and where the decision makers use the linear reward-inaction algorithm of stochastic learning automata. It is shown that the effective game matrix is decided by the willingness and the ability to cooperate and is a convex combination of two zero-sum game matrices. Analysis of the properties of this effective game matrix and the convergence of the decision process shows that players tend toward noncooperation in these specific environments. Simulation results illustrate this noncooperative behavior.",11,"Learning in multilevel games with incomplete information. II
J Zhou, E Billard, S Lakshmivarahan - IEEE Transactions on Systems, Man, and Cybernetics …, 1999
Cited by 11 Related articles All 11 versions",{},340-349,,,,
Wormhole Routing in Networks Based on Cayley Graphs: A Performance Comparison.,"Sung Boo, S Lakshmivarahan, Sudarshan K Dhall",1999,,,,,"Over past decades, deadlock free routing algorithms based on wormhole routing scheme have been reported in the literatures. Much of this effort, however, is restricted to networks based on binary hypercube, k-ary n-cube mesh or torus. Recently several network topologies based on Cayley graphs of permutation groups have been shown to have several desirable properties including recursive scalability, symmetry, etc. This class includes networks based on star, complete transposition graphs to mention a few. In this paper, we first extend several known families of deadlock free wormhole routing algorithms to networks based on star and complete transposition graphs. We then provide a comprehensive comparison of the performance in five different classes algorithms on four different families of network including binary hypercube, k-ary n-cube torus, star, and complete transposition graph. From the algorithm …",0,"Wormhole Routing in Networks Based on Cayley Graphs: A Performance Comparison.
S Boo, S Lakshmivarahan, SK Dhall - PDPTA, 1999
Related articles",{},2699-2705,,PDPTA,,
