Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference
Nonlinear system identification using Laguerre wavelet models,"P Aadaleesan, Prabirkumar Saha",2008/6/19,Chemical Product and Process Modeling,3,2,De Gruyter,"A compact and efficient model that is capable of approximating both the linear and nonlinear components of the process is in high demand. In this paper, a novel black-box modeling technique viz. Wiener type Laguerre-Wavelet model is proposed. The Laguerre-Wavelet model has the capability to approximate a function with moderate/reasonable number of data with appreciable approximation accuracy. The Laguerre filter is used to approximate the linear dynamic components of the process, whereas wavelet structure is used for the static nonlinear components. The ability of wavelets to approximate any square-integrable function to any arbitrary precision by input-output mappings is utilised for the nonlinear approximation following a modified single scaling method. The performance efficiency of the proposed Wiener type model structure, Laguerre-Wavelet model, is demonstrated using simulation case study on a …",6,"Nonlinear system identification using Laguerre wavelet models
P Aadaleesan, P Saha - Chemical Product and Process Modeling, 2008
Cited by 6 Related articles All 3 versions",{},,,
Mixed H2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes,"P Aadaleesan, Prabirkumar Saha",2008,Proceedings of Annual Meeting of American Institute of Chemical Engineers. Philadelphia,,,,"In this paper we propose a newer kind of robust model predictive controller (MPC), namely, Nash game approach based mixed H2/H∞ model predictive control. Two quadratic objective functions are considered, viz. one for H2 problem and another for H∞ problem. The resulting open-loop control problem reduces to solving a pair of coupled non-symmetric algebraic Riccati equations. The pair of coupled Riccati equations are solved, by finding the invariant subspace spanning eigenvectors of a specially constructed matrix. The novel control algorithm is demonstrated using numerical example for non-minimum unstable system.",3,"Mixed H2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes
P Aadaleesan, P Saha - Proceedings of Annual Meeting of American Institute of …, 2008
Cited by 3 Related articles All 2 versions",{'2017': 3},,,
Performance of batch stirred tank bioreactor and internal loop airlift bioreactor in degrading phenol using Pseudomonas spp.: a comparative study,"Pichiah Saravanan, Kannan Pakshirajan, Prabirkumar Saha",2008,J Environ Protect Sci,2,,,"Performance of two bioreactors namely batch stirred tank reactor (BSTR) and internal loop airlift reactor (ILALR) was evaluated in degrading phenol using Pseudomonas spp. and compared. A mixed culture of microorganisms, isolated from a sewage treatment plant, has been used to study the phenol degradation and culture growth kinetics. The BSTR took a maximum of 8 days to degrade the phenol completely with maximum initial concentration of 400 mgl-1; where as ILALR took only 47 h to degrade phenol with a maximum initial concentration 600 mgl-1. The rate of culture growth and phenol degradation expressed in terms of specific growth rate µ and specific degradation rate q respectively and calculated at various concentrations of phenol, demonstrated substrate inhibition behaviour. The biokinetic parameters were evaluated by fitting the experimental data to Haldane deterministic model. Based on the findings obtained in the study, the mixed microbial culture showed a better potential in degrading phenol in an ILALR than BSTR.",6,"Performance of batch stirred tank bioreactor and internal loop airlift bioreactor in degrading phenol using Pseudomonas spp.: a comparative study
P Saravanan, K Pakshirajan, P Saha - J Environ Protect Sci, 2008
Cited by 6 Related articles All 3 versions",{},81-86,,
Kinetics of phenol and m-cresol biodegradation by an indigenous mixed microbial culture isolated from a sewage treatment plant,"Pichiah Saravanan, Kannan Pakshirajan, Prabirkumar Saha",2008/1/1,Journal of Environmental Sciences,20,12,Elsevier,"An acclimatized mixed microbial culture, predominantly Pseudomonas sp., was enriched from a sewage treatment plant, and its potential to simultaneously degrade mixtures of phenol and m-cresol was investigated during its growth in batch shake flasks. A 22 full factorial design with the two substrates at two different levels and different initial concentration ranges (low and high), was employed to carry out the biodegradation experiments. The substrates phenol and m-cresol were completely utilized within 21 h when present at low concentrations of 100 mg/L for each, and at high concentration of 600 mg/L for each, a maximum time of 187 h was observed for their removal. The biodegradation results also showed that the presence of phenol in low concentration range (100–300 mg/L) did not inhibit m-cresol biodegradation. Whereas the presence of m-cresol inhibited phenol biodegradation by the culture. Moreover …",68,"Kinetics of phenol and m-cresol biodegradation by an indigenous mixed microbial culture isolated from a sewage treatment plant
P Saravanan, K Pakshirajan, P Saha - Journal of Environmental Sciences, 2008
Cited by 68 Related articles All 8 versions","{'2009': 2, '2010': 5, '2011': 5, '2012': 7, '2013': 5, '2014': 11, '2015': 9, '2016': 4, '2017': 2, '2018': 4, '2019': 4, '2020': 3, '2021': 2, '2022': 3, '2023': 1}",1508-1513,,
Growth kinetics of an indigenous mixed microbial consortium during phenol degradation in a batch reactor,"Pichiah Saravanan, K Pakshirajan, Prabirkumar Saha",2008/1/1,Bioresource Technology,99,1,Elsevier,"Biodegradation of phenol by a mixed microbial culture, isolated from a sewage treatment plant, was investigated in batch shake flasks. A minimum concentration of 100 and a maximum of 800mg1−1 of phenol in the media were adapted in the degradation study. The phenol degradation rate varied largely and was less than 10mgl−1h−1 at both extremes of the initial concentrations in the media. The degradation rate was maximum 15.7mgl−1h−1 at 400mgl−1 phenol. The culture followed substrate inhibition kinetics and the specific growth rate were fitted to Haldane and Han–Levenspiel models. Between the two models the Han–Levenspiel was found to be a better fit with a root mean square error of 0.0211. The biokinetics constants estimated using these models showed good potential of the mixed microbial culture in phenol degradation.",252,"Growth kinetics of an indigenous mixed microbial consortium during phenol degradation in a batch reactor
P Saravanan, K Pakshirajan, P Saha - Bioresource Technology, 2008
Cited by 252 Related articles All 10 versions","{'2008': 15, '2009': 14, '2010': 16, '2011': 18, '2012': 31, '2013': 13, '2014': 15, '2015': 17, '2016': 23, '2017': 21, '2018': 15, '2019': 14, '2020': 14, '2021': 14, '2022': 12}",205-209,,
Stochastic identification of bioreactor process exhibiting input multiplicity,"Rishi Amrit, Prabirkumar Saha",2007/5,Bioprocess and biosystems engineering,30,,Springer-Verlag,"Bioreactor systems involve complex biochemical reactions, which make the systems highly non-linear in nature. Developing model based controllers for such processes require mathematical representations, which are simple, yet capable of capturing the non-linear process characteristics. Continuous bioreactor falls under the class of non-linear systems that exhibit input multiplicity in the optimal operating region, i.e., the operating region where identical outputs are obtained for multiple inputs. Linear modeling techniques are not useful for the referred class of systems for obvious reasons. Even for non-linear modeling techniques, the real bottleneck is to capture the bell-shaped parabolic structure of steady state characteristics exhibited by these systems. The stochastic approach of modeling, which is based on process input/output time-series data, is very useful for this purpose. The aim of this paper is to …",6,"Stochastic identification of bioreactor process exhibiting input multiplicity
R Amrit, P Saha - Bioprocess and biosystems engineering, 2007
Cited by 6 Related articles All 9 versions",{},165-172,,
Modleing the Degradation of Phenol by a mixed microbial culture in a Batch Reactor,"P Saravanan, K Pakshirajan, P Saha",2006/12/27,"Proceedings of International Symposium & 59th Annual Session of IIChE in association with International Partners (CHEMCON-2006), GNFC Complex, Bharuch",,,,"Mixed microbial culture, isolated from a sewage wastewater treatment plant, has been used to study the biodegradation of phenol in batch shake flasks. A minimum and maximum phenol concentrations of 100 mg/l and 800 mg/l respectively were adopted in the studied media. The degradation kinetics was found to fit the three half-order kinetic model for all the initial phenol concentration with the regression greater than 0.95. The phenol degradation rate was observed to vary largely with the initial concentrations of phenol and was found to be less than 10 mg/l/h at both the extremes of the initial concentrations in the media. The degradation rate showed a maximum15. 7 mg/l/h at 400 mg/l phenol. In the range of phenol concentrations used in the study the degradation rate was observed to follow substrate inhibition kinetics. The specific substrate utilization rates of the culture at various initial phenol concentrations …",3,"Modleing the Degradation of Phenol by a mixed microbial culture in a Batch Reactor
P Saravanan, K Pakshirajan, P Saha - Proceedings of International Symposium & 59th Annual …, 2006
Cited by 3 Related articles",{},,,
Plant wide Control of Hydrodealkylation Process using Aspen® Engineering Suite,"T Jithender Reddy, Prabirkumar Saha",2006,proceedings of CHEMCON,,,,"Dynamic Matrix Control [1] is widely used in chemical and petrochemical industries for improving plant efficiency and reducing off-spec product. Because of its simplistic step-response based controller development approach, DMC technique is largely useful for plant wide control. In this work, a comparative study on the performance of a 2 2× Dynamic Matrix Controller (DMC) and a 2 2× Quadratic Dynamic Matrix Controller (QDMC) is carried out on a Hydrodealkylation (HDA) Plant. The production rate and purity of benzene are the control objectives while compressor power and reflux ratio are chosen as the manipulated variables. In QDMC, the constraints are applied on the future control moves and the cost function is minimized by quadratic programming. Both DMC and QDMC showed good control performance in terms of disturbance rejection. The entire simulation has been done using the commercial dynamic …",1,"Plant wide Control of Hydrodealkylation Process using Aspen® Engineering Suite
TJ Reddy, P Saha - proceedings of CHEMCON, 2006
Cited by 1 Related articles",{'2010': 1},,,
Improved branch and bound method for control structure screening,"Yi Cao, Prabirkumar Saha",2005/3/1,Chemical engineering science,60,6,Pergamon,"The main aim of this paper is to present an improved algorithm of “Branch and Bound” method for control structure screening. The new algorithm uses a best-first search approach, which is more efficient than other algorithms based on depth-first search approaches. Detailed explanation of the algorithms is provided in this paper along with a case study on Tennessee–Eastman process to justify the theory of branch and bound method. The case study uses the Hankel singular value to screen control structure for stabilization. The branch and bound method provides a global ranking to all possible input and output combinations. Based on this ranking an efficient control structure with least complexity for stabilizing control is detected which leads to a decentralized proportional controller.",50,"Improved branch and bound method for control structure screening
Y Cao, P Saha - Chemical engineering science, 2005
Cited by 50 Related articles All 9 versions",{},1555-1564,,
Solar Photocatalytic Treatment of Phenolic Waste Water,"Pichiah Saravanan, Bishnupada Mandal, Prabirkumar Saha",2005,,,,Chemcon,"Water pollution is a serious problem throughout the world. Chemical industry is at the forefront of the water management challenge, due to increasing stringent standards on effluent discharge, raw water usage, increasing process water costs and in many locations, general lack of available water. Therefore, treatment of wastewater is a very critical issue for chemicals industries.",3,"Solar Photocatalytic Treatment of Phenolic Waste Water
P Saravanan, B Mandal, P Saha - 2005
Cited by 3 Related articles",{},,,
Modeling and control structure selection for reactive distillation process using Aspen custom modeler,"T Satyanarayana, Prabirkumar Saha",2005,"CHEMCON–05, Newdelhi, India",,,,"Control of RD (Reactive distillation) is a challenging task due to its high degree of nonlinearity, strong interactions, steady state multiplicity, time delay, process uncertainties, and the large number of possible control configurations. Distillation columns show open loop (without inventory control) unstable behavior as well. For such systems, control structure selection is a critical decision making process, determining the best possible input manipulation to control the system at the desired operating point is a crucial task especially when major disturbances affect the column. Most literatures on RD control uses the control structure screening approach, which involves trying out all possible control structures, and thus it is a tedious task. Traditionally, input-output pairing is selected through Relative Gain Array, Singular Value Decomposition etc. But none of the above techniques address the stabilization issue of open-loop …",6,"Modeling and control structure selection for reactive distillation process using Aspen custom modeler
T Satyanarayana, P Saha - CHEMCON–05, Newdelhi, India, 2005
Cited by 6 Related articles",{},,,
Modeling and predictive control of MIMO nonlinear systems using Wiener-Laguerre models,"Prabirkumar Saha, SH Krishnan, VSR Rao, Sachin C Patwardhan",2004/8/1,Chemical Engineering Communications,191,8,Taylor & Francis Group,"In this work, a Weiner-type nonlinear black box model was developed for capturing dynamics of open loop stable MIMO nonlinear systems with deterministic inputs. The linear dynamic component of the model was parameterized using orthogonal Laguerre filters while the nonlinear state output map was constructed either using quadratic polynomial functions or artificial neural networks. The properties of the resulting model, such as open loop stability and steady-state behavior, are discussed in detail. The identified Weiner-Laguerre model was further used to formulate a nonlinear model predictive control (NMPC) scheme. The efficacy of the proposed modeling and control scheme was demonstrated using two benchmark control problems: (a) a simulation study involving control of a continuously operated fermenter at its optimum (singular) operating point and (b) experimental verification involving control of pH at the …",64,"Modeling and predictive control of MIMO nonlinear systems using Wiener-Laguerre models
P Saha, SH Krishnan, VSR Rao, SC Patwardhan - Chemical Engineering Communications, 2004
Cited by 64 Related articles All 5 versions","{'2008': 3, '2009': 5, '2010': 4, '2011': 2, '2012': 2, '2013': 4, '2014': 10, '2015': 3, '2016': 5, '2017': 5, '2018': 3, '2019': 3, '2020': 2, '2021': 2, '2022': 3, '2023': 2}",1083-1119,,
Control structure selection for open-loop unstable plant with pure integrators using multi-projected systems,"Prabir kumar Saha, Yi Cao",2003/9/1,,,,IEEE,"Selection of inputs and outputs for stabilizing an open-loop unstable process is discussed in this paper. The procedure includes decomposition of the process into multiple projections in order to isolate its unstable poles. Several projected subsystems are produced in state-space form indicating pure integrators, slow and fast modes as their only poles. By examining the numerical values of these state-space matrices, one can identify the outputs and inputs, which have strong connections with unstable pole(s). Tennessee-Eastman test-bed problem [4] has been chosen for the case study due to its umpteen I/O combinations. The process, linearized around its base case operating point, shows six unstable poles (including two pure integrators), which are separated as three antistable projections of the overall process. Analysis shows that by closing three loops, it is possible to stabilize the entire plant. PI controllers are …",0,"Control structure selection for open-loop unstable plant with pure integrators using multi-projected systems
P kumar Saha, Y Cao - 2003 European Control Conference (ECC), 2003
Related articles All 2 versions
CONTROL STRUCTURE SELECTION FOR OPEN-LOOP UNSTABLE PLANT WITH PURE INTEGRATORS USING MULTI-PROJECTED SYSTEMS*
P Saha, Y Cao
Related articles All 3 versions",{},1393-1398,,2003 European Control Conference (ECC)
Globally optimal control structure selection using Hankel singular value through branch and bound method,"Prabirkumar Saha, Yi Cao",2003/1/1,,15,,Elsevier,The main theme of this paper is control structure selection for open loop unstable processes using “Branch and Bound” method. The method solves input-output combinatorial problem and gives more confidence about the selection due to guaranteed best combination of the selected subset. Simulation results on Tennesse-Eastman process justify the theory,2,"Globally optimal control structure selection using Hankel singular value through branch and bound method
P Saha, Y Cao - Computer Aided Chemical Engineering, 2003
Cited by 2 Related articles","{'2017': 1, '2018': 1}",1014-1019,Computer Aided Chemical Engineering,
Control structure selection for unstable processes using Hankel singular value,"Yi Cao, Prabikumar Saha",2003/1/1,,14,,Elsevier,Control Structure Selection for open loop unstable processes is the main theme of this paper. Hankel singular value has been used as a controllability measure for input-output selection. This method ensures feedback stability of the process with minimal control effort as well as it provides a quantitative justification for the controllability. Simulation results with Tennesse-Eastman test-bed problem justify the proposed theory.,1,"Control structure selection for unstable processes using Hankel singular value
Y Cao, P Saha - Computer Aided Chemical Engineering, 2003
Cited by 1 Related articles All 2 versions",{'2018': 1},383-388,Computer Aided Chemical Engineering,
Nonlinear model predictive control of an industrial four-stage evaporator system via simulation,"GP Rangaiah, P Saha, MO Tade",2002/8/28,Chemical Engineering Journal,87,3,Elsevier,"Issues related to applicability of model predictive control (MPC) to the nonlinear and integrating processes are addressed in this study. An industrial four-stage evaporator system is taken as an exemplary process, and two different models of this system are used as process and its prediction model in the controller. Unlike the past studies, where the necessity of stabilization is advocated prior to MPC implementation on an open-loop unstable process, nonlinear MPC without any pre-stabilization is successfully achieved by using process state variables for initialization, suitable prediction horizon and sampling period. However, steady state offset was observed. A useful offset removal technique is proposed and implemented successfully. Performance of NMPC is compared with that of decentralized controllers for the evaporator system, and the results show that both can provide comparable control.",42,"Nonlinear model predictive control of an industrial four-stage evaporator system via simulation
GP Rangaiah, P Saha, MO Tade - Chemical Engineering Journal, 2002
Cited by 42 Related articles All 9 versions","{'2008': 1, '2009': 4, '2010': 1, '2011': 2, '2012': 4, '2013': 4, '2014': 3, '2015': 3, '2016': 2, '2017': 1, '2018': 2, '2019': 2, '2020': 1, '2021': 1, '2022': 6, '2023': 4}",285-299,,
Special Theme Issue:-Practical Applications of Process Systems Engineering-Models of an Industrial Evaporator System for Education and Research in Process Control,"Kiew M Kam, Prabirkumar Saha, Moses O Tade, GP Rangaiah",2002,Developments in Chemical Engineering and Mineral Processing,10,1-2,"Northwood, Middlesex, UK: Science and Technology Letters, c1993-c2006.",,0,"Special Theme Issue:-Practical Applications of Process Systems Engineering-Models of an Industrial Evaporator System for Education and Research in Process Control
KM Kam, P Saha, MO Tade, GP Rangaiah - Developments in Chemical Engineering and Mineral …, 2002",{},105-128,,
Models of an industrial evaporator system for education and research in process control,"Kiew M Kam, Prabirkumar Saha, Moses O Tadé, GP Rangaiah",2002,Developments in Chemical Engineering and Mineral Processing,10,1‐2,"Wiley Subscription Services, Inc., A Wiley Company","Realistic models of typical industrial processes are essential for effective and practice‐oriented education and research in process control This paper presents two mechanistic models of an industrial five‐effect evaporator system, and also indicates their potential applications in process control‐related research and training Simulation programs for these models in four different platforms (viz, MAPLE, MATLAB, Simulink and C++) are developed Relative merits and application‐specific usefulness of these four platforms in process control studies are discussed",17,"Models of an industrial evaporator system for education and research in process control
KM Kam, P Saha, MO Tadé, GP Rangaiah - Developments in Chemical Engineering and Mineral …, 2002
Cited by 17 Related articles",{},105-127,,
Experimental evaluation of an augmented IMC for nonlinear systems,"Q Hu, P Saha, GP Rangaiah",2000/10/1,Control Engineering Practice,8,10,Pergamon,"Performance of internal model control (IMC), which is affected by the inevitable errors in the model used, can be improved by augmented IMC (AuIMC) having an additional feedback of process/model mismatch through a suitable gain. This paper presents a detailed study on real-time control of an open-loop stable single-input–single-output (SISO) nonlinear system by AuIMC. The AuIMC structure is first analyzed theoretically to show its robustness and performance characteristics, followed by its experimental evaluation on pH control of a neutralization process. The experimental results show that significantly improved control is obtained by the AuIMC compared to the standard IMC.",38,"Experimental evaluation of an augmented IMC for nonlinear systems
Q Hu, P Saha, GP Rangaiah - Control Engineering Practice, 2000
Cited by 38 Related articles All 6 versions","{'2008': 2, '2009': 2, '2010': 2, '2011': 3, '2012': 1, '2013': 3, '2014': 6, '2015': 1, '2016': 4, '2017': 3, '2018': 3, '2019': 3, '2020': 2, '2021': 1, '2022': 1, '2023': 1}",1167-1176,,
Multi-input multi-output control of a continuous fermenter using nonlinear model based controllers,"Prabirkumar Saha, Qiuping Hu, Gade Pandu Rangaiah",1999/12,Bioprocess Engineering,21,6,Springer-Verlag,"Internal Model Control (IMC) and Model Predictive Control (MPC), the two most important members of model based controllers, are favourable alternatives for control of nonlinear processes. However, the performance of these controllers deteriorates drastically in the presence of substantial process-model mismatch. Hu and Rangaiah (1998) proposed feedback augmentation for nonlinear IMC (hence named Augmented IMC, AuIMC) for improving control in the presence of modelling errors, and demonstrated its success on a neutralization process. In the present study, IMC, MPC and AuIMC strategies are tested in a more difficult case of multi-input multi-output (MIMO) operation of a highly nonlinear continuous fermenter. A new control configuration is introduced as the conventional configuration is not applicable. Simulation results for different modelling errors show that IMC is better than MPC for fermenter …",5,"Multi-input multi-output control of a continuous fermenter using nonlinear model based controllers
P Saha, Q Hu, GP Rangaiah - Bioprocess Engineering, 1999
Cited by 5 Related articles All 10 versions",{},533-542,,
Maximizing productivity of a continuous fermenter using nonlinear adaptive optimizing control,"P Saha, SC Patwardhan, VS Ramachandra Rao",1999/1,Bioprocess engineering,20,1,Springer-Verlag,"The control of a continuously operated fermenter at its maximum productivity level gives rise to a difficult control problem as the location of the optimum operating point changes due to the disturbances. In addition, the fermenter exhibits a change in the sign of the steady state gain near the optimum operating point. This study is aimed at developing an on-line optimizing control scheme that can track the changing location of the steady state optimum so as to maximize the fermenter productivity. A nonlinear Laguerre model, whose parameters are estimated on-line, is used for tracking the optimum operating point. The control at the optimum point is achieved using an adaptive nonlinear MPC strategy that uses the nonlinear Laguerre model for prediction. The efficiency of the proposed algorithm is demonstrated by simulating the control of a continuous fermenter that exhibits shift in the location of the optimum …",33,"Maximizing productivity of a continuous fermenter using nonlinear adaptive optimizing control
P Saha, SC Patwardhan, VS Ramachandra Rao - Bioprocess engineering, 1999
Cited by 33 Related articles All 5 versions",{},15-21,,
Kinetics of growth and multi substrate degradation by an indigenous mixed microbial culture isolated from a wastewater...,"Pichiah Saravanan, Prabirkumar Saha",,,,,,"An indigenous mixed culture of microorganisms, isolated from a sewage treatment plant, was investigated for its potential to simultaneously degrade phenol and m-cresol during its growth in batch shake flasks. 22 full factorial designs with the two substrates as the factors, at two different levels and two different initial concentration ranges, were employed to carry out the biodegradation experiments. For complete utilisation of phenol and m-cresol, the culture took a minimum duration of 21 hrs at their low concentration of 100 mg/L each, and a maximum duration of 187hrs at high concentration of 600mg/L each in the multisubstrate system. The biodegradation results also showed that the presence of phenol in low concentration range (100–300mg/L did not inhibit m-cresol biodegradation; on the other hand, presence of m-cresol inhibited phenol biodegradation by the culture. Moreover, irrespective of the concentrations used, phenol was degraded preferentially and earlier than m-cresol. During the culture growth, a lag phase was observed above a combined concentration of 500 mg/L ie, 200 mg/L m-cresol and 300 mg/L of phenol and above). Statistical analysis of the specific growth rate of the culture in the multisubstrate system was also performed in the form of ANOVA and Student ‘t’test, which gave good interpretation in terms of main and interaction effects of the substrates.",0,"Kinetics of growth and multi substrate degradation by an indigenous mixed microbial culture isolated from a wastewater...
P Saravanan, P Saha
Related articles",{},,,
Biodegradation of phenol and m-cresol in a batch and fed batch,"P Saravanan, K Pakshirajan, Prabirkumar Saha",,,,,,"28 An internal loop airlift reactor (ILALR) is developed and studied for biodegradation of phenol/m-cresol as 29 single and dual substrate systems under batch and fed batch operation using an indigenous mixed micro-30 bial strain, predominantly Pseudomonas sp. The results showed that the culture could degrade phenol/m-31 cresol completely at a maximum concentration of 600 mg l
À1 and 400 mg l À1, respectively. Batch ILALR 32 study has revealed that phenol has been preferentially degraded by the microbial culture rather than 33 m-cresol probably owing to the toxic effect of the later. A sum kinetic model evaluated the interaction 34 between the phenol/m-cresol in dual substrate system, which resulted in a high coefficient of determina-35 tion (R 2) value> 0.98). The fed batch results showed that the strain was able to degrade phenol/m-cresol 36 with maximum individual concentrations 600 mg l",0,"Biodegradation of phenol and m-cresol in a batch and fed batch
P Saravanan, K Pakshirajan, P Saha
Related articles",{},,,
"187: Liquid Membrane Based Separation and Recovery Of Catechin (+ C), A Bioactive Compound","Mriganka Sekhar Manna, Kamal Kumar Bhatluri, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"The extraction and recovery of bioactive component, catechin (+ C), from the easily available plants has been studied in this work. Catechin aids great pharmacological benefits to human health such as reduction of cholesterol and hypertension, anti-oxidation, anti-microbial, protection against cardiovascular disease and cancer. Catechin is found in leaves and flowers of tea plants (Camellia sinensis). Liquid membrane based separation technique is an extraction/recovery process of solute from solute rich source phase to solvent phase and thereby from solvent phase to strip phase. Vegetable oils such as coconut oil, soyabean oil, sunflower oil and mustard oil are known to be both environmentally as well as physiologically benign solvents. The efficacy of these vegetable oils for extraction of bioactive component has been explored in this work. Various vegetables oils and carriers viz. aliquat 336, trioctylamine (TOA), di-2-ethylhexyl phosphoric acid, nn-dimethyloctylamine and tributyl phosphate (TBP) have been tried. Sunflower oil and the sunflower oil-tributyl phosphate (TBP) have been identified as the most efficient solvent and solvent-carrier combination respectively in two phase equilibrium study. Maximum catechin extraction (93%) was obtained using 28%(v/v) carrier in sunflower oil at optimum operating conditions viz. pH of 7.0, temperature of 25 ºC and stirring speed of 200 rpm. Based on the result of two phase equilibrium studies, simultaneous extraction and recovery of the catechin has been explored through a preliminary study in a BLM type liquid membrane configuration using ethanol as the stripping agent. 70% extraction and 50 …",0,"187: Liquid Membrane Based Separation and Recovery Of Catechin (+ C), A Bioactive Compound
MS Manna, KK Bhatluri, P Saha, AK Ghoshal
All 4 versions",{},,,
Evaluation of Indigenous Mixed Microbial Consortium for Bioremediation of Petroleum Refinery Effluent,"Pichiah Saravanan, K Pakshirajan, Prabirkumar Saha",,,,,,"In the present study the an indigenous mixed microbial consortium, isolate from sewage treatment plant located at Guwahati, India was evaluated for its potential, with the refinery effluent collected from a refinery complex located at Guwahati, India. As a first step the isolated culture was acclimatized in presence of m-cresol as a carbon source. The culture was then evaluated for its potential in degrading phenol and m-cresol as dual substrate system. A 22 full factorial designs with the two substrates as the factors, at two different levels and two different initial concentration ranges, were employed to carry out the biodegradation experiments. The concentration ranges adopted in the study includes both low viz 100 mgl-1 of each and high concentration viz 600 mgl-1 was adopted in the study. The mixed culture showed a good potential in degrading the refinery effluent having an initial Chemical Oxygen Demand (COD) of 5000 mgl-1",0,"Evaluation of Indigenous Mixed Microbial Consortium for Bioremediation of Petroleum Refinery Effluent
P Saravanan, K Pakshirajan, P Saha",{},,,
186: Separation of Cd (II) from wastewater using environmentally benign vegetable oil as liquid membrane,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar",,,,,,"In the present work, two phase equilibrium study has been carried out for separation of Cd (II) using liquid membrane with various green solvents, viz. sunflower oil, soybean oil, coconut oil and mustard oil. Practically no solute transfer occurs with mustard oil as a solvent, whereas sunflower and soybean oil yields low transfer rate (18% and 19.5% respectively). Nevertheless, coconut oil has been found to be an ideal green solvent for this purpose which yields an extraction efficiency of 84% with Shalimar® coconut oil (Shalimar Chemical Works Limited) even without using any transport enhancing carrier agent. The performance is further enhanced with a different brand of coconut oil, viz. Parachute®(Marico International), which yields 92% extraction. The performance of liquid membrane depends upon various operating conditions such as feed concentration, pH, stirring speed, carrier concentrations, temperature and various other physical and chemical condition of the process. Series of experimentations with varying operating conditions have been performed in order to find the optimum process condition that is most suitable for the Cd (II) transport.",1,"186: Separation of Cd (II) from wastewater using environmentally benign vegetable oil as liquid membrane
KK Bhatluri, MS Manna, P Saha, A Kumar
Cited by 1 Related articles All 2 versions",{'2012': 1},,,
SEPARATION OF BIOACTIVE COMPOUNDS (+) CATECHIN AND (-) EPICATECHIN FROM THEIR AQUEOUS SOLUTION USING LIQUID MEMBRANE,"Mriganka Sekhar Manna, Kamal Kumar Bhatluri, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"Two catechin compounds, catechin and epicatechin aid great pharmacological benefits to human health such as reduction of cholesterol and hypertension, anti-oxidation, anti-microbial, protection against cardiovascular disease and cancer. They are found in leaves and flowers of tea plants (Camellia sinensis). Extraction and recovery of these bioactive components using liquid membrane based separation are studied in the present work, where, solute is transported from solute rich source phase to solvent phase and thereby from solvent phase to strip phase. Amongst various vegetable oils such as coconut oil, soybean oil, sunflower oil and mustard oil, known to be both environmentally as well as physiologically benign solvents, and various carriers viz. aliquat 336, trioctylamine (TOA), di-2-ethylhexyl phosphoric acid, nn-dimethyloctylamine and tributyl phosphate (TBP), the sunflower oil-tributyl phosphate (TBP) combination is identified as the most efficient solvent-carrier combination in two phase equilibrium study. The simultaneous extraction and recovery of the catechin compounds studied in BLM type liquid membrane configuration uses ethanol as the stripping agent. 70% extraction and 44% recovery of the catechins have been achieved respectively at the optimum conditions of the parameters viz. 10%(v/v) TBP in the membrane phase, feed phase pH of 4.0, ethanol 0.2 (M) as stripping agent and stirring speed of 400 rpm of both the feed and receiving phases. Maximum fluxes of the extraction and recovery have been 5.7× 10-9 g cm-2 s-1 and 4.9× 10-9 g cm-2 s-1, respectively.",0,"SEPARATION OF BIOACTIVE COMPOUNDS (+) CATECHIN AND (-) EPICATECHIN FROM THEIR AQUEOUS SOLUTION USING LIQUID MEMBRANE
MS Manna, KK Bhatluri, P Saha, AK Ghoshal",{},,,
SEPARATION OF Cd (II) FROM ITS AQUEOUS SOLUTION USING LIQUID MEMBRANE,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"Environmental pollution due to heavy metals (Cd, Hg, Pb, As, Ni and Cr etc.) from the industrial wastewater has been a long standing problem. Heavy metals that cause severe damage to human health are not biodegradable and hence it is important that they should be removed before effluent disposal. The major sources of effluent containing heavy metals are industries viz. Chloro-alkali, pulp & paper, battery, fertilizer, mining & combustion and rubber processing. Separation of heavy metals by liquid membrane (LM) is one of the most promising separation technologies. The LM is a homogeneous, thin film of liquid (membrane phase) interposed between two other liquid phases, viz. feed (or source) phase and receiving (or strip) phase. The transport of solute across the LM occurs due to its higher solubility and diffusivity in the liquid film as well as the concentration gradients in the phases. In LM based separation the primary issue is selection of suitable solvent (for membrane phase). Most of the conventional organic solvents widely used for the heavy metals extraction processes are toxic, flammable and volatile in nature. So, heavy metals from the industrial effluent need to be separated by green technology. The performance of LM based separation process is affected by various physical and chemical parameters viz. pH, concentration, stirring rate of the aqueous phases, temperature and carrier concentration. In the present work, three phase studies were carried out for extraction and recovery of Cd (II) through the bulk liquid membrane (BLM) configuration. Amongst various green solvents, viz. sunflower oil, soybean oil, coconut oil and mustard …",0,"SEPARATION OF Cd (II) FROM ITS AQUEOUS SOLUTION USING LIQUID MEMBRANE
KK Bhatluri, MS Manna, P Saha, AK Ghoshal
All 2 versions",{},,,
